scenario,initialization,h,dt,t,J_full,Q_outer_full,bulk_balance_residual,bulk_balance_normalized,M_full,mass_bulk_full,energy_bulk_full,mass_coating_full
time_dependent,prepared,0.02,0.001,0.0,0.7575757575757576,0.7575757575757576,0.0,0.0,0.0,0.3787878787878777,0.09565350474440969,0.019848484848484876
time_dependent,prepared,0.02,0.001,0.001,0.7435056624334191,0.7575757575758012,1.872807464664561e-14,1.2360529266785237e-14,0.0007435056624334191,0.37877380869273775,0.09564318085948412,0.019833259555844654
time_dependent,prepared,0.02,0.001,0.002,0.732424417931465,0.7575757575757954,4.475586568020162e-16,2.9538871348931587e-16,0.001475930080364884,0.37874865735309277,0.0956249021570219,0.019815916549764032
time_dependent,prepared,0.02,0.001,0.003,0.7236254815065524,0.7575757575757374,1.6861512186494565e-15,1.1128598043086697e-15,0.0021995555618714363,0.37871470707702126,0.09560043930638001,0.019797905894876663
time_dependent,prepared,0.02,0.001,0.004,0.7162072316435564,0.7575757575753993,-2.636779683484747e-16,1.7402745911007561e-16,0.0029157627935149926,0.37867333855109037,0.09557086069026029,0.01977958007990011
time_dependent,prepared,0.02,0.001,0.005,0.7096970139572016,0.7575757575738263,-8.534839501805891e-15,5.63299407120628e-15,0.0036254598074721943,0.37862545980747403,0.0955368688284536,0.01976106991075028
time_dependent,prepared,0.02,0.001,0.006,0.7038348227162724,0.7575757575677978,-2.0122792321330962e-15,1.3281042932217995e-15,0.0043292946301884665,0.3785717188726239,0.09549896530426452,0.01974243860308741
time_dependent,prepared,0.02,0.001,0.007,0.698463506229467,0.7575757575480457,2.7824964554667986e-15,1.8364476606752603e-15,0.005027758136417934,0.3785126066213054,0.09545753030214045,0.01972372214769499
time_dependent,prepared,0.02,0.001,0.008,0.6934803482443961,0.757575757490904,-1.9845236565174673e-15,1.309785613448235e-15,0.005721238484662329,0.3784485112120572,0.09541286465751853,0.019704943320142873
time_dependent,prepared,0.02,0.001,0.009000000000000001,0.6888140686308316,0.7575757573421272,-1.942890293094024e-16,1.2823075938375096e-16,0.006410052553293161,0.37837974952334646,0.09536521413014257,0.019686117615565803
time_dependent,prepared,0.02,0.001,0.01,0.6844128755445662,0.7575757569879881,4.871103520542874e-15,3.2149283260526073e-15,0.007094465428837727,0.3783065866419036,0.09531478444989112,0.019667256143504872
time_dependent,prepared,0.02,0.001,0.011,0.6802377574675816,0.7575757562077375,-5.620504062164855e-15,3.709532687727442e-15,0.007774703186305309,0.3782292486431614,0.095261751183867,0.019648367191806383
time_dependent,prepared,0.02,0.001,0.012,0.676258469589552,0.7575757546005327,-5.273559366969494e-16,3.480549195869017e-16,0.008450961655894861,0.3781479313581512,0.09520626650537875,0.01962945713874426
time_dependent,prepared,0.02,0.001,0.013000000000000001,0.672451004354275,0.7575757514802799,2.040034807748725e-15,1.3464229839475173e-15,0.009123412660249136,0.37806280661102565,0.09514846401056054,0.01961053101755656
time_dependent,prepared,0.02,0.001,0.014,0.6687959277364321,0.757575745731819,3.3584246494910985e-15,2.2165603033178218e-15,0.009792208587985568,0.3779740267930307,0.09508846225082257,0.019591592882809143
time_dependent,prepared,0.02,0.001,0.015,0.6652772452325366,0.7575757356241719,-4.551914400963142e-15,3.004263591687504e-15,0.010457485833218105,0.37788172830263855,0.09502636738995823,0.01957264605754353
time_dependent,prepared,0.02,0.001,0.016,0.6618816052689963,0.7575757185785214,4.163336342344337e-16,2.747802127394091e-16,0.0111193674384871,0.3777860341893312,0.0949622752462953,0.019553693305468568
time_dependent,prepared,0.02,0.001,0.017,0.6585977250269085,0.7575756908916498,-2.123301534595612e-15,1.4013791361867328e-15,0.01177796516351401,0.37768705622346277,0.09489627289156552,0.01953473695425296
time_dependent,prepared,0.02,0.001,0.018000000000000002,0.6554159672578895,0.7575756474184185,-4.468647674116255e-15,2.9493078937687776e-15,0.012433381130771899,0.3775848965433043,0.09482843992300444,0.019515778985896386
time_dependent,prepared,0.02,0.001,0.019,0.6523280222609736,0.757575581220101,-4.496403249731884e-15,2.9676268356553204e-15,0.013085709153032872,0.37747964898434416,0.09475884948985512,0.01949682110433272
time_dependent,prepared,0.02,0.001,0.02,0.6493266647611936,0.757575483187669,-4.288236432614667e-15,2.830237070615697e-15,0.013735035817794066,0.37737140016592,0.09468756913210188,0.019477864786908595
time_dependent,prepared,0.02,0.001,0.021,0.6464055652036077,0.7575753416510941,5.176414852314792e-15,3.4164356782211663e-15,0.014381441382997674,0.3772602303894719,0.09461466147341996,0.01945891132420602
time_dependent,prepared,0.02,0.001,0.022,0.6435591412848091,0.75757514198702,1.970645868709653e-15,1.300627330208397e-15,0.015025000524282482,0.37714621438876905,0.09454018479942497,0.019439961851282998
time_dependent,prepared,0.02,0.001,0.023,0.6407824397118137,0.7575748662371425,-4.163336342344337e-17,2.7478052189241282e-17,0.015665782963994297,0.37702942196224315,0.09446419354455099,0.019421017372492144
time_dependent,prepared,0.02,0.001,0.024,0.6380710409849187,0.7575744927496327,4.676814491233472e-15,3.0867027176818346e-15,0.016303854004979215,0.3769099185104778,0.09438673870533594,0.01940207878141873
time_dependent,prepared,0.02,0.001,0.025,0.6354209819622663,0.7575739958545119,2.9004576518332215e-15,1.9143065018761767e-15,0.01693927498694148,0.3767877654965867,0.09430786819385369,0.019383146877067384
time_dependent,prepared,0.02,0.001,0.026000000000000002,0.6328286922981452,0.7575733455824699,3.2612801348363973e-15,2.1524517420349004e-15,0.017572103679239625,0.3766630208433033,0.09422762714199873,0.019364222377122285
time_dependent,prepared,0.02,0.001,0.027,0.6302909418407382,0.7575725074347366,-4.690692279041286e-15,3.0958701860266456e-15,0.018202394621080364,0.3765357392777074,0.09414605816510051,0.01934530592890633
time_dependent,prepared,0.02,0.001,0.028,0.6278047967584924,0.7575714422093313,-2.7755575615628914e-16,1.8318784255306926e-16,0.018830199417838856,0.37640597263225756,0.09406320159160063,0.019326398118506897
time_dependent,prepared,0.02,0.001,0.029,0.6253675826913664,0.7575701058872828,4.107825191113079e-15,2.7111848521939057e-15,0.01945556700053022,0.3762737701090609,0.09397909566422792,0.01930749947843234
time_dependent,prepared,0.02,0.001,0.03,0.6229768535971844,0.7575684495797801,-7.494005416219807e-16,4.946091287445182e-16,0.020078543854127405,0.3761391785130806,0.09389377671706928,0.019288610494077374
time_dependent,prepared,0.02,0.001,0.031,0.6206303652524817,0.7575664195358912,1.942890293094024e-15,1.2823233996329303e-15,0.020699174219379887,0.376002242458795,0.09380727933213132,0.01926973160921665
time_dependent,prepared,0.02,0.001,0.032,0.6183260525852233,0.757563957208654,-1.1934897514720433e-15,7.877155058099763e-16,0.02131750027196511,0.3758630045541727,0.09371963647836327,0.019250863230699695
time_dependent,prepared,0.02,0.001,0.033,0.6160620101837508,0.7575609993759095,6.5503158452884236e-15,4.323292679193258e-15,0.02193356228214886,0.37572150556498035,0.09363087963558617,0.019232005732484764
time_dependent,prepared,0.02,0.001,0.034,0.6138364754524945,0.7575574783113784,2.9698465908722937e-15,1.9601460456123924e-15,0.022547398757601353,0.37557778456212093,0.0935410389053806,0.019213159459121984
time_dependent,prepared,0.02,0.001,0.035,0.6116478139894879,0.7575533220005909,5.828670879282072e-16,3.847036710161455e-16,0.02315904657159084,0.37543187905410885,0.09345014311065118,0.019194324728775254
time_dependent,prepared,0.02,0.001,0.036000000000000004,0.6094945068367331,0.7575484543957957,1.304512053934559e-15,8.610089865307748e-16,0.023768541078427574,0.37528382510654995,0.09335821988531523,0.019175501835855417
time_dependent,prepared,0.02,0.001,0.037,0.6073751393168977,0.7575427957038197,1.8041124150158794e-15,1.19076600374749e-15,0.024375916217744473,0.375133657450163,0.09326529575533868,0.01915669105332384
time_dependent,prepared,0.02,0.001,0.038,0.6052883912247682,0.7575362627006946,-6.106226635438361e-16,4.030319692993335e-16,0.02498120460896924,0.3749814095786855,0.0931713962121788,0.019137892634716314
time_dependent,prepared,0.02,0.001,0.039,0.603233028174307,0.7575287690669569,3.941291737419306e-15,2.601413898955784e-15,0.025584437637143548,0.3748271138377948,0.09307654577951242,0.01911910681592699
time_dependent,prepared,0.02,0.001,0.04,0.6012078939408267,0.7575202257379909,-9.71445146547012e-16,6.412007980385024e-16,0.026185645531084375,0.374670801505999,0.0929807680740317,0.0191003338167867
time_dependent,prepared,0.02,0.001,0.041,0.5992119036618088,0.7575105412638657,2.609024107869118e-15,1.7221041594458189e-15,0.026784857434746182,0.3745125028683964,0.09288408586096651,0.01908157384246412
time_dependent,prepared,0.02,0.001,0.042,0.597244037779194,0.7574996221737962,2.220446049250313e-16,1.465641687634312e-16,0.027382101472525375,0.37435224728400096,0.0927865211049079,0.01906282708471226
time_dependent,prepared,0.02,0.001,0.043000000000000003,0.5953033366317644,0.7574873733407317,8.326672684688674e-16,5.496245203379238e-16,0.02797740480915714,0.37419006324729187,0.09268809501643964,0.019044093722983053
time_dependent,prepared,0.02,0.001,0.044,0.5933888956072452,0.7574736983420619,4.718447854656915e-16,3.1145951766936107e-16,0.028570793704764386,0.3740259784445569,0.09258882809500592,0.019025373925424128
time_dependent,prepared,0.02,0.001,0.045,0.5914998607907412,0.7574584998130413,-3.3306690738754696e-15,2.198581885804678e-15,0.029162293565555126,0.37386001980553407,0.09248874016839796,0.01900666784977426
time_dependent,prepared,0.02,0.001,0.046,0.5896354250470296,0.7574416797899187,-3.469446951953614e-15,2.290240321153105e-15,0.029751928990602156,0.3736922135507922,0.09238785042920712,0.01898797564417017
time_dependent,prepared,0.02,0.001,0.047,0.5877948244822453,0.7574231400404224,3.0808688933348094e-15,2.0337831856908823e-15,0.030339723815084402,0.37352258523523346,0.09228617746852642,0.01896929744787327
time_dependent,prepared,0.02,0.001,0.048,0.5859773352439545,0.7574027823795215,-2.55351295663786e-15,1.6857034434277686e-15,0.030925701150328357,0.3733511597880994,0.09218373930716384,0.018950633391927218
time_dependent,prepared,0.02,0.001,0.049,0.5841822706226365,0.7573805089688964,-3.0253577421035516e-15,1.997250857579041e-15,0.03150988342095099,0.37317796154975313,0.0920805534246117,0.018931983599755592
time_dependent,prepared,0.02,0.001,0.05,0.5824089784127537,0.7573562225989595,-4.468647674116255e-15,2.9501623811722064e-15,0.032092292399363745,0.37300301430556476,0.09197663678595633,0.01891334818770194
