scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
time_dependent,prepared,0.02,0.001,0.0,0.7575757575757576,0.7575757575757576,0.0,0.0,0.0,0.0,0.3787878787878777,0.09565350474440969
time_dependent,prepared,0.02,0.001,0.001,0.7412311183338991,0.7575757575758053,9.204789708228134e-14,6.075161207429817e-14,-1.0047518372857667e-13,0.0007412311183338991,0.378771534148639,0.09564151221939934
time_dependent,prepared,0.02,0.001,0.002,0.7304878908774208,0.7575757575757892,1.1948428357833052e-13,7.885962716168863e-14,-1.1113332476497817e-13,0.0014717190092113199,0.3787444462819364,0.09562184154609103
time_dependent,prepared,0.02,0.001,0.003,0.722009162466654,0.7575757575757255,9.486161856031572e-14,6.26086682498071e-14,-9.314771176605063e-14,0.0021937281716779737,0.3787088796868276,0.09559623903340378
time_dependent,prepared,0.02,0.001,0.004,0.7148093287907216,0.7575757575753438,9.740819262304967e-14,6.428940713124376e-14,-9.414691248821327e-14,0.0029085375004686952,0.37866611325804295,0.09556569193682517
time_dependent,prepared,0.02,0.001,0.005,0.7084530367191927,0.7575757575735717,1.022376627801691e-13,6.747685743510175e-14,-1.1068923555512811e-13,0.003616990537187888,0.37861699053718767,0.09553085206559679
time_dependent,prepared,0.02,0.001,0.006,0.7027053398918468,0.7575757575668184,1.143182770668716e-13,7.545006286501984e-14,-1.141309269314661e-13,0.0043196958770797345,0.3785621201195136,0.09549219011495147
time_dependent,prepared,0.02,0.001,0.007,0.6974230997083257,0.7575757575447813,9.776901510605285e-14,6.452754997262915e-14,-9.547918011776346e-14,0.00501711897678806,0.37850196746167775,0.0954500663869108
time_dependent,prepared,0.02,0.001,0.008,0.6925116932660744,0.7575757574814258,1.0377809722683651e-13,6.849354417823608e-14,-1.0580425424677742e-13,0.005709630670054135,0.3784369033974623,0.0954047681728876
time_dependent,prepared,0.02,0.001,0.009000000000000001,0.6879047889063594,0.7575757573173582,7.172040739078511e-14,4.733546889406146e-14,-7.072120666862247e-14,0.006397535458960494,0.3783672324290494,0.0953565315587913
