t,J_full,J_red,Q_outer_full,Q_outer_red,M_full,M_red,mass_bulk_full,mass_coating_full,mass_red,balance_normalized_full,balance_normalized_red,robin_flux_mismatch_red
0.0,4.014418752827071,4.01460963249952,4.014418752827072,4.014609632499597,0.0,0.0,0.44334193351097867,0.015552495138123183,0.45516111499242007,1.1062353909574631e-16,9.51317202497884e-15,7.638334409421077e-14
0.001,5.057678672232099,3.9827615984202454,4.015205908111057,4.014609630719689,0.005057678672232099,0.003982761598420245,0.4443844062751007,0.01574101656678147,0.45512926696012235,2.1951236853391932e-16,8.94452493660826e-16,2.042810365310288e-14
0.002,4.65840552035632,3.962895168831394,4.013996289517717,4.014609612135546,0.009716084192588419,0.00794565676725164,0.4450288155059398,0.015752839663309596,0.45507755251681764,3.694065878655762e-16,7.245497334847017e-15,6.350475700855895e-14
0.003,4.494928570655851,3.947192141777394,4.013630960921649,4.014609512215498,0.01421101276324427,0.011892848909029034,0.44551011311567357,0.01574602342056373,0.4550101351463785,5.001640380990326e-16,1.8200164321291815e-15,3.2862601528904634e-14
0.004,4.403049400407603,3.9336945141640274,4.013594996165714,4.014609141816704,0.018614062163651874,0.015826543423193062,0.44589956751991544,0.015734993011024045,0.45492922051872686,1.7020034832055373e-15,5.091898294153818e-15,3.419486915845482e-14
0.005,4.341099430816176,3.921607443548148,4.01368704374404,4.01460807301236,0.02295516159446805,0.01974815086674121,0.44622697990698695,0.015722352377541268,0.4548362198892615,6.905168182071188e-16,3.826702588111736e-15,3.2862601528904634e-14
0.006,4.294769795232175,3.9105213085368575,4.013840535776096,4.014605504758829,0.027249931389700225,0.02365867217527807,0.4465079091664418,0.015708901970313167,0.45473213569304144,6.398019258209658e-16,5.9336397421556066e-15,5.3290705182007514e-14
0.007,4.257819924059692,3.9001933416080083,4.0140446020959235,4.014600139324415,0.03150775131375992,0.027558865516886077,0.44675168448840635,0.015694977482167246,0.4546177288953228,3.6178947774725287e-16,3.723005268348203e-15,4.75175454539567e-14
0.008,4.227049393188287,3.8904659050813253,4.014310430897572,4.014590098884505,0.035734800706948205,0.0314493314219674,0.4469644234506995,0.015680748074158445,0.45449360470151895,1.8713618684469208e-15,7.134913734602245e-15,4.04121180963557e-14
0.009000000000000001,4.200623727436752,3.8812298461980563,4.0146562997338515,4.014572899495425,0.039935424434384956,0.03533056126816546,0.44715039087839936,0.01566630977877649,0.45436026164822557,1.856704445354096e-15,1.2824924109227868e-15,1.199040866595169e-14
0.01,4.177403703713827,3.8724058956396337,4.015100418815486,4.01454548429078,0.04411282813809878,0.03920296716380509,0.4473126941632988,0.015651721872673493,0.4542181220595717,1.3055885893006603e-15,4.9053077057782425e-15,4.4853010194856324e-14
0.011,4.156637917814006,3.8639343311804133,4.015657405070955,4.01450430556634,0.048269466055912785,0.04306690149498551,0.4474536746760403,0.015637023290695464,0.454067552085186,3.7093012572503105e-15,2.8035555713645678e-15,3.907985046680551e-14
0.012,4.137806950587505,3.8557688240407333,4.016336712323842,4.0144454391336035,0.05240727300650029,0.04692267031902624,0.4475751449143045,0.015622240864887307,0.45390887547009334,3.806675698012678e-16,3.719691775019152e-15,2.5757174171303632e-14
0.013000000000000001,4.120538000251901,3.8478725707551584,4.017142234663427,4.014364713483008,0.05652781100675219,0.0507705428897814,0.44767854067989266,0.015607393807842169,0.45374238332736616,2.616901270177016e-15,1.8391410947192092e-15,1.5987211554602254e-14
0.014,4.104555140546675,3.840215752395128,4.018072624876817,4.014257838987367,0.06063236614729887,0.05461075864217653,0.44776502319556405,0.015592496312419275,0.45356834124077355,1.0515127365679527e-15,6.641135534417186e-15,5.284661597215745e-14
0.015,4.0896488447379,3.832773803916968,4.019122014810235,4.01412052657774,0.06472201499203677,0.058443532446093495,0.44783555002548897,0.0155775591387202,0.45338699451811276,1.379414457829353e-15,7.474558135919991e-15,7.327471962526033e-14
0.016,4.075656518968601,3.8255261987745905,4.020280916089187,4.013948589588227,0.06879767151100537,0.062269058644868085,0.44789092562837135,0.015562590624879196,0.4531985721272987,5.924775719742926e-16,4.0036582240077475e-15,3.197442310920451e-14
0.017,4.062449623068334,3.8184555728719283,4.021537151205434,4.013738026009362,0.0728601211340737,0.06608751421774,0.44793183810023607,0.015547597354274231,0.4530032896741639,6.166084337603545e-16,5.379981874509377e-15,5.551115123125783e-14
0.018000000000000002,4.049924889673385,3.8115470787585055,4.022876722244543,4.013485080956177,0.07691004602374708,0.06989906129649852,0.44795888626766134,0.015532584609574743,0.452801351671963,8.639511463451848e-16,5.7572200304545e-15,5.46229728115577e-14
0.019,4.037998179813494,3.8047879001314557,4.02428456777593,4.013186290786317,0.08094804420356058,0.07370384919662998,0.44797259987969995,0.015517556689967783,0.4525929532813078,1.218989619086835e-15,5.041832887311369e-15,2.4868995751603507e-14
0.02,4.026600084516145,3.798166880500864,4.025745188603191,4.012838511183281,0.08497464428807673,0.07750201607713084,0.44797345477561146,0.015502517137945537,0.4523782816506269,1.105971817390132e-15,3.427221822960628e-15,2.042810365310288e-14
0.021,4.015672712511791,3.7916742347944403,4.027243142317998,4.0124389318591245,0.08899031700058853,0.08129369031192528,0.4479618843458058,0.015487468904750805,0.45215751695356304,1.5099841082693025e-15,5.070441512446774e-15,5.284661597215745e-14
