scenario,initialization,h,dt,t,J_full,Q_outer_full,bulk_balance_residual,bulk_balance_normalized,M_full,mass_bulk_full,energy_bulk_full,mass_coating_full
constant,prepared,0.01,0.001,0.0,0.7633587786259542,0.7633587786259542,0.0,0.0,0.0,0.38167938931297923,0.09711943748421717,0.009961832061068711
constant,prepared,0.01,0.001,0.001,0.7444709853792022,0.7633587786259904,2.6229018956769323e-15,1.718000741668306e-15,0.0007444709853792022,0.38166050151973613,0.0971054735471427,0.009953062876327063
constant,prepared,0.01,0.001,0.002,0.7325846060362049,0.7633587786259827,4.642120021713936e-15,3.0405886142225052e-15,0.0014770555914154072,0.38162972734714445,0.09708296082886052,0.009943696598099657
constant,prepared,0.01,0.001,0.003,0.72355888459317,0.7633587786259087,7.320533068622126e-15,4.794949159947755e-15,0.002200614476008577,0.3815899274531071,0.09705410652012142,0.009934179190897414
constant,prepared,0.01,0.001,0.004,0.7160304793698151,0.7633587786254701,-4.309053114326389e-15,2.822429789885583e-15,0.002916644955378392,0.38154259915385264,0.09702006648044977,0.009924593465600798
constant,prepared,0.01,0.001,0.005,0.7094481185206072,0.7633587786234259,1.1726730697603216e-15,7.68100860695554e-16,0.0036260930738989993,0.38148868849374995,0.09698157162852435,0.009914969165315564
constant,prepared,0.01,0.001,0.006,0.7035315981282357,0.763358778615702,-4.461708780212348e-15,2.9224192510783456e-15,0.004329624672027235,0.38142886131326414,0.09693913684033038,0.009905320916378682
constant,prepared,0.01,0.001,0.007,0.6981163713594978,0.7633587785905045,6.938893903907228e-16,4.544975507270297e-16,0.005027741043386732,0.3813636189060299,0.09689315007519118,0.009895657191334095
constant,prepared,0.01,0.001,0.008,0.6930962478534153,0.7633587785182069,1.887379141862766e-15,1.2362333380946033e-15,0.005720837291240148,0.38129335637536343,0.09684391735206128,0.00988598341613482
constant,prepared,0.01,0.001,0.009000000000000001,0.6883980256486099,0.7633587783313506,2.192690473634684e-15,1.4362122607849946e-15,0.0064092353168887575,0.3812183956226829,0.09679168817948064,0.009876303311692546
constant,prepared,0.01,0.001,0.01,0.6839687276694245,0.7633587778896996,9.575673587391975e-16,6.272066205791106e-16,0.007093204044558182,0.38113900557246405,0.0967366711500592,0.009866619560051866
