scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.001,0.0,0.7633587786259431,0.7633587786259542,0.0,0.0,0.0,0.0,0.38167938931297923,0.09711943748421717
constant,prepared,0.01,0.001,0.001,0.7436440680432661,0.7633587786259839,1.3865297798787424e-13,9.081770058204586e-14,-1.3278267374516872e-13,0.0007436440680432661,0.38165967460240247,0.09710486233030446
constant,prepared,0.01,0.001,0.002,0.7320196322671573,0.7633587786259807,9.992007221626409e-14,6.544764730164643e-14,-9.603429163007604e-14,0.0014756637003104233,0.3816283354560385,0.09708194253344848
constant,prepared,0.01,0.001,0.003,0.7231189103026657,0.7633587786259127,1.4959561367433594e-13,9.798512695668578e-14,-1.4155343563970746e-13,0.002198782610613089,0.3815880955877141,0.09705277814503444
constant,prepared,0.01,0.001,0.004,0.7156600764943523,0.7633587786254493,9.620776397767372e-14,6.3016085405414e-14,-1.0302869668521453e-13,0.0029144426871074414,0.3815403968855771,0.09701848201760675
constant,prepared,0.01,0.001,0.005,0.709122797412948,0.7633587786233507,1.254690795704505e-13,8.218224711891863e-14,-1.255662240851052e-13,0.0036235654845203896,0.3814861609043709,0.0969797660880041
constant,prepared,0.01,0.001,0.006,0.7032384122379507,0.7633587786153545,1.3700846013264822e-13,8.974054138812263e-14,-1.412203687323199e-13,0.00432680389675834,0.3814260405379952,0.09693713519745854
constant,prepared,0.01,0.001,0.007,0.6978475611846151,0.763358778589386,1.1898815266420115e-13,7.793723999877922e-14,-1.1501910535116622e-13,0.005024651457942955,0.38136052932058623,0.09689097128944031
constant,prepared,0.01,0.001,0.008,0.6928467443578263,0.7633587785149848,1.199873533863638e-13,7.859171647948698e-14,-1.2467804566540508e-13,0.005717498202300782,0.38129001728643047,0.09684157645155736
constant,prepared,0.01,0.001,0.009000000000000001,0.688164306288019,0.7633587783229796,1.1832201884942606e-13,7.750092237712793e-14,-1.2012613126444194e-13,0.006405662508588801,0.38121482281439545,0.09678919745931387
constant,prepared,0.01,0.001,0.01,0.6837482286002246,0.7633587778698493,1.2909118218829008e-13,8.455472441707409e-14,-1.297850715786808e-13,0.007089410737189025,0.38113521226512515,0.09673404091527105
constant,prepared,0.01,0.001,0.011,0.6795593407981732,0.7633587768796415,1.2737033650012108e-13,8.342757059842707e-14,-1.291189377639057e-13,0.007768970077987198,0.38105141282904414,0.0966762831567866
constant,prepared,0.01,0.001,0.012,0.6755672760850714,0.7633587748559989,1.23262511309008e-13,8.073694530612455e-14,-1.2156942119645464e-13,0.00844453735407227,0.38096362133027184,0.09661607704690336
