scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.0005,0.0,0.7633587786259429,0.7633587786259542,0.0,0.0,0.0,0.0,0.3816793893129784,0.09711943748421432
constant,prepared,0.01,0.0005,0.0005,0.750515862449205,0.7633587786273156,2.9169167081732894e-12,1.9105804438464467e-12,-2.8242963523439357e-12,0.0003752579312246025,0.38167296785491034,0.09711464512745292
constant,prepared,0.01,0.0005,0.001,0.7424990206996736,0.7633587786272938,2.9533459011688024e-12,1.9344415652584285e-12,-2.871036741680655e-12,0.0007465074415744393,0.38166253797593985,0.09710691776895046
constant,prepared,0.01,0.0005,0.0015,0.7362805844333974,0.763358778627281,2.993019027064392e-12,1.9604274627199263e-12,-2.8967939158519584e-12,0.001114647733791138,0.381648998878832,0.09709694796792359
constant,prepared,0.01,0.0005,0.002,0.731040165471988,0.7633587786272908,2.970589052520012e-12,1.945735829393415e-12,-2.8986812949938212e-12,0.001480167816527132,0.38163283957225513,0.09708511256147619
constant,prepared,0.01,0.0005,0.0025,0.7264317114961103,0.7633587786273021,2.9636709752978163e-12,1.9412044888128738e-12,-2.901678897160309e-12,0.0018433836722751872,0.3816143760386833,0.09707165518017327
constant,prepared,0.01,0.0005,0.003,0.7222734690927293,0.7633587786273103,2.95307528430655e-12,1.934264311213613e-12,-2.90700796767851e-12,0.002204520406821552,0.38159383338392183,0.09705674947641384
constant,prepared,0.01,0.0005,0.0035,0.7184565972323403,0.7633587786273083,2.946552724036877e-12,1.9299920342370062e-12,-2.922329045418337e-12,0.002563748705437722,0.3815713822932182,0.0970405271875591
constant,prepared,0.01,0.0005,0.004,0.7149099864018499,0.7633587786272998,2.9386840183498464e-12,1.924838032012051e-12,-2.9022340086726217e-12,0.0029212036986386468,0.38154715789710053,0.0970230926602556
constant,prepared,0.01,0.0005,0.0045000000000000005,0.711584210442459,0.7633587786272853,2.9296981507442865e-12,1.9189522887304794e-12,-2.889133376982045e-12,0.0032769958038598762,0.3815212706130018,0.09700453119831827
constant,prepared,0.01,0.0005,0.005,0.7084432885056182,0.7633587786272967,2.9263466649886993e-12,1.9167570655605532e-12,-2.8961277820371834e-12,0.0036312174481126854,0.38149381286794204,0.09698491423973127
constant,prepared,0.01,0.0005,0.0055,0.7054600717719376,0.7633587786272751,2.9215449504071955e-12,1.9136119425097397e-12,-2.9041213878144845e-12,0.003983947483998654,0.381464863514501,0.09696430275779767
constant,prepared,0.01,0.0005,0.006,0.7026134815298022,0.7633587786271984,2.9102484311316346e-12,1.90621272238448e-12,-2.901900941765234e-12,0.004335254224763555,0.38143449086595543,0.09694274959900694
constant,prepared,0.01,0.0005,0.006500000000000001,0.6998867657566455,0.7633587786270276,2.9160285297535893e-12,1.909998686982267e-12,-2.899458451111059e-12,0.004685197607641878,0.3814027548595255,0.09692030114967014
constant,prepared,0.01,0.0005,0.007,0.6972663502760128,0.7633587786266316,2.929212428171013e-12,1.9186341404466296e-12,-2.9192204209493866e-12,0.005033830782779885,0.38136970864534564,0.09689699856018097
constant,prepared,0.01,0.0005,0.0075,0.6947410542726851,0.7633587786257579,2.9284907832050067e-12,1.9181614629960935e-12,-2.907230012283435e-12,0.005381201309916228,0.38133539978316966,0.09687287866716437
constant,prepared,0.01,0.0005,0.008,0.6923015383028396,0.7633587786239958,2.930031217651674e-12,1.919170447563087e-12,-2.9140023727336484e-12,0.005727352079067647,0.38129987116300645,0.09684797470309062
constant,prepared,0.01,0.0005,0.0085,0.6899399058233577,0.7633587786204677,2.906258567136888e-12,1.9035993614847195e-12,-2.911559882079473e-12,0.006072322031979326,0.3812631617266011,0.09682231685234184
constant,prepared,0.01,0.0005,0.009000000000000001,0.6876494091117861,0.7633587786136644,2.9264785039728736e-12,1.916843420129418e-12,-2.9383162569729393e-12,0.006416146736535219,0.3812253070418511,0.09679593269405914
constant,prepared,0.01,0.0005,0.0095,0.6854242279999215,0.7633587786010912,2.923591924108848e-12,1.9149527103499992e-12,-2.9226621123257246e-12,0.00675885885053518,0.3811863397665507,0.09676884755972827
constant,prepared,0.01,0.0005,0.01,0.6832593005405495,0.7633587785786488,2.9246050026188186e-12,1.9156162768303675e-12,-2.9226621123257246e-12,0.007100488500805455,0.3811462900275321,0.09674108482550119
constant,prepared,0.01,0.0005,0.0105,0.6811501914506994,0.7633587785398182,2.9289626279904724e-12,1.9184705215465556e-12,-2.9302116288931757e-12,0.007441063596530804,0.3811051857339767,0.09671266615387537
constant,prepared,0.01,0.0005,0.011,0.6790929885190118,0.763358778474525,2.9068830675882396e-12,1.9040084096443738e-12,-2.901012763345534e-12,0.0077806100907903105,0.38106305283900394,0.09668361169541526
constant,prepared,0.01,0.0005,0.0115,0.6770842200406444,0.763358778367647,2.932890041940084e-12,1.921042978117112e-12,-2.9279911828439253e-12,0.008119152200810633,0.38101991555983317,0.09665394025866304
constant,prepared,0.01,0.0005,0.012,0.6751207882883459,0.7633587781969937,2.909381069393646e-12,1.9056446015200617e-12,-2.9050095662341846e-12,0.008456712594954806,0.3809757965648848,0.09662366945442147
constant,prepared,0.01,0.0005,0.0125,0.6731999153708035,0.7633587779307736,2.9243690802260858e-12,1.9154617492888026e-12,-2.923217223838037e-12,0.008793312552640207,0.380930717133602,0.09659281581915125
constant,prepared,0.01,0.0005,0.013000000000000001,0.6713190987710269,0.7633587775243107,2.892269757026611e-12,1.894436693582803e-12,-2.8976820942716586e-12,0.00912897210202572,0.3808846972942291,0.09656139492123246
constant,prepared,0.01,0.0005,0.0135,0.6694760745305159,0.7633587769161579,2.9325292194570807e-12,1.9208066430429848e-12,-2.929656517380863e-12,0.009463710139290978,0.3808377559430326,0.09652942145304282
constant,prepared,0.01,0.0005,0.014,0.6676687865310406,0.7633587760231862,2.920302888398396e-12,1.912798398419218e-12,-2.918443264832149e-12,0.009797544532556499,0.380789910948283,0.09649690931116889
constant,prepared,0.01,0.0005,0.0145,0.6658953606836909,0.7633587747349502,2.9070357232541255e-12,1.904108408433477e-12,-2.9086733022154476e-12,0.010130492212898344,0.3807411792412585,0.09646387166668921
constant,prepared,0.01,0.0005,0.015,0.6641540830995907,0.7633587729069359,2.915598318331547e-12,1.909716912810951e-12,-2.9071189899809724e-12,0.01046256925444814,0.3806915768963497,0.09643032102702605
constant,prepared,0.01,0.0005,0.0155,0.6624433815163959,0.7633587703530125,2.8949759256491348e-12,1.8962092518468572e-12,-2.8931301798706954e-12,0.010793790945206338,0.38064111920192983,0.09639626929063544
constant,prepared,0.01,0.0005,0.016,0.660761809406198,0.7633587668365253,2.919331443251849e-12,1.9121621248580273e-12,-2.9118929489868606e-12,0.011124171849909437,0.38058982072321446,0.09636172779555752
constant,prepared,0.01,0.0005,0.0165,0.6591080323059804,0.7633587620606486,2.8795299478190373e-12,1.88609215674715e-12,-2.8816948827170563e-12,0.011453725866062426,0.380537695358338,0.09632670736272014
constant,prepared,0.01,0.0005,0.017,0.65748081600262,0.7633587556576142,2.9397873024805676e-12,1.925560741058347e-12,-2.935651721713839e-12,0.011782466274063737,0.38048475638850676,0.09629121833465303
