scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.001,0.0,0.7633587786259429,0.7633587786259542,0.0,0.0,0.0,0.0,0.3816793893129784,0.09711943748421432
constant,prepared,0.01,0.001,0.001,0.7437628527079533,0.763358778625963,1.560002127476423e-13,1.021801393496941e-13,-1.2234657731369225e-13,0.0007437628527079533,0.3816597933870646,0.0971049536440238
constant,prepared,0.01,0.001,0.002,0.732103350722871,0.7633587786259567,1.511984981661385e-13,9.903501629881059e-14,-1.155742168634788e-13,0.0014758662034308244,0.38162853795915463,0.09708209809842287
constant,prepared,0.01,0.001,0.003,0.7231848903447083,0.7633587786258832,1.4115097979328084e-13,9.245389176459901e-14,-1.2279066652354231e-13,0.002199051093775533,0.381588364070867,0.09705298425460139
constant,prepared,0.01,0.001,0.004,0.7157159370504836,0.7633587786253283,1.5131645936250493e-13,9.911228088251217e-14,-1.3000711618360583e-13,0.0029147670308260166,0.3815407212292936,0.09701873083782672
constant,prepared,0.01,0.001,0.005,0.7091720077931,0.7633587786228484,1.1163292512605949e-13,7.31195659578611e-14,-1.0813572259849025e-13,0.0036239390386191167,0.38148653445846703,0.09698005246062472
constant,prepared,0.01,0.001,0.006,0.7032828434473265,0.7633587786135675,1.176003738834197e-13,7.702824489488389e-14,-1.0880185641326534e-13,0.004327221882066443,0.3814264585232965,0.09693745540819848
constant,prepared,0.01,0.001,0.007,0.6978883486589136,0.7633587785838111,1.2791157022462585e-13,8.378207850174832e-14,-1.3578027591165664e-13,0.0050251102307253565,0.38136098809338514,0.09689132250092097
constant,prepared,0.01,0.001,0.008,0.6928846358431782,0.7633587784996209,1.2286005546258139e-13,8.04733363413024e-14,-1.2168044349891716e-13,0.0057179948665685345,0.3812905139507293,0.09684195640433178
constant,prepared,0.01,0.001,0.009000000000000001,0.6881998242889427,0.763358778284865,1.3723744363147716e-13,8.989052561877497e-14,-1.4421797089880783e-13,0.006406194690857478,0.38121535499673526,0.09678960429806378
constant,prepared,0.01,0.001,0.01,0.6837817549435663,0.7633587777832381,1.340039190722564e-13,8.777256708921747e-14,-1.376676550535194e-13,0.007089976445801044,0.38113577797387943,0.09673447308023331
constant,prepared,0.01,0.001,0.011,0.6795911644273928,0.7633587766972397,1.3590517600192698e-13,8.901789050616827e-14,-1.2534417948018017e-13,0.007769567610228437,0.38105201036161407,0.09667673931202392
constant,prepared,0.01,0.001,0.012,0.6755976218612197,0.7633587744965354,1.0570710973212272e-13,6.923815724908207e-14,-1.0547118733938987e-13,0.008445165232089658,0.38096424920897826,0.09661655603080474
constant,prepared,0.01,0.001,0.013000000000000001,0.6717769752824863,0.7633587702883572,1.3168632850835138e-13,8.625454611505661e-14,-1.2456702336294256e-13,0.009116942207372143,0.38087266741397824,0.09655405759482207
constant,prepared,0.01,0.001,0.014,0.6681096747107913,0.7633587626441853,1.3243572904997336e-13,8.674540434383698e-14,-1.1612932837579137e-13,0.009785051882082934,0.3807774183260403,0.09648936323497585
constant,prepared,0.01,0.001,0.015,0.6645796302079023,0.7633587493784979,1.4531431613562518e-13,9.518088071560166e-14,-1.4366285938649526e-13,0.010449631512290836,0.3806786392068683,0.09642257972602487
constant,prepared,0.01,0.001,0.016,0.6611734101750447,0.7633587272787657,1.377509217803663e-13,9.022685983522498e-14,-1.3444800828210646e-13,0.01111080492246588,0.3805764538897666,0.09635380343939409
constant,prepared,0.01,0.001,0.017,0.6578796636973439,0.7633586917890177,1.1464440508035523e-13,7.50920938698323e-14,-1.197930643570544e-13,0.011768684586163224,0.380470974861675,0.09628312195041064
constant,prepared,0.01,0.001,0.018000000000000002,0.6546886948873907,0.7633586366524138,1.2455314557513475e-13,8.158232552482298e-14,-1.3489209749195652e-13,0.012423373281050615,0.38036230491991074,0.09621061531704561
constant,prepared,0.01,0.001,0.019,0.6515921430449764,0.7633585535217138,1.3992973446619317e-13,9.165400310288134e-14,-1.4943601911454607e-13,0.013074965424095591,0.38025053850943347,0.0961363571118803
constant,prepared,0.01,0.001,0.02,0.6485827381636569,0.7633584315486089,1.3555823130673161e-13,8.879068187647805e-14,-1.3522516439934407e-13,0.013723548162259248,0.38013576281604744,0.09606041526529317
constant,prepared,0.01,0.001,0.021,0.6456541111669784,0.7633582569648572,1.289107709467885e-13,8.443661267209709e-14,-1.2390088954816747e-13,0.014369202273426227,0.38001805867024757,0.09598285276217584
constant,prepared,0.01,0.001,0.022,0.6428006446081159,0.7633580126686742,1.2445600106048005e-13,8.151876249086314e-14,-1.3355982986240633e-13,0.015012002918034343,0.379897501302188,0.09590372822334352
constant,prepared,0.01,0.001,0.023,0.6400173537629154,0.7633576778298249,1.2788381464901022e-13,8.376401938640657e-14,-1.2090328738167955e-13,0.015652020271797257,0.37977416097812433,0.09582309639511205
constant,prepared,0.01,0.001,0.024,0.6372997908797717,0.7633572275263539,1.3047896096907152e-13,8.546389309227819e-14,-1.2645440250480533e-13,0.01628932006267703,0.37964810354147405,0.09574100856490347
constant,prepared,0.01,0.001,0.025,0.6346439673017649,0.7633566324236049,1.2284617767477357e-13,8.046447260485281e-14,-1.2967404927621828e-13,0.016923964029978793,0.379519390876354,0.0956575129166796
