scenario,initialization,h,dt,t,J_full,Q_outer_full,bulk_balance_residual,bulk_balance_normalized,M_full,mass_bulk_full,energy_bulk_full,mass_coating_full
constant,prepared,0.01,0.0005,0.0,0.7633587786259542,0.7633587786259542,0.0,0.0,0.0,0.38167938931297923,0.09711943748421717,0.009961832061068711
constant,prepared,0.01,0.0005,0.0005,0.7513801195994251,0.7633587786267271,1.8263168755083825e-14,1.1962375534567652e-14,0.0003756900597997125,0.3816733999834716,0.09711496610228068,0.009957693650173549
constant,prepared,0.01,0.0005,0.001,0.743145521954409,0.7633587786267352,4.475586568020162e-16,2.9315092020502063e-16,0.000747262820776917,0.3816632933551356,0.09710747432253172,0.009953142581323226
constant,prepared,0.01,0.0005,0.0015,0.7367966416428755,0.7633587786267301,9.54097911787244e-16,6.249341322200091e-16,0.0011156611415983548,0.38165001228664236,0.09709768941424483,0.00994847586303803
constant,prepared,0.01,0.0005,0.002,0.7314786700477827,0.7633587786267132,-3.5110803153770576e-15,2.2997576065696914e-15,0.0014814004766222461,0.38163407223235496,0.09708600880681821,0.009943755029029937
constant,prepared,0.01,0.0005,0.0025,0.7268187542663996,0.7633587786267183,-1.457167719820518e-15,9.544448564814848e-16,0.0018448098537554459,0.3816158022201734,0.09707268625788262,0.00993900197555562
constant,prepared,0.01,0.0005,0.003,0.7226234267091504,0.7633587786267123,-5.613565168260948e-15,3.6768851852072824e-15,0.002206121567110021,0.3815954345442144,0.09705790099541114,0.00993422730759217
constant,prepared,0.01,0.0005,0.0035,0.7187782564766346,0.7633587786267056,-2.1510571102112408e-16,1.408942407186976e-16,0.0025655106953483384,0.38157314428313843,0.09704178816360283,0.009929437118944038
constant,prepared,0.01,0.0005,0.004,0.715209151698424,0.7633587786267106,-2.983724378680108e-16,1.954339468033535e-16,0.0029231152711975505,0.38154906946967376,0.09702445435951676,0.009924635295903086
constant,prepared,0.01,0.0005,0.0045000000000000005,0.7118649443228302,0.7633587786267126,-4.2327252813834093e-16,2.7724350593033794e-16,0.0032790477433589657,0.3815233225525198,0.09700598646211576,0.009919824497392248
constant,prepared,0.01,0.0005,0.005,0.708708562494582,0.7633587786266983,-4.718447854656915e-16,3.0905833447972675e-16,0.0036334020246062567,0.381495997444452,0.09698645706163211,0.009915006637531684
constant,prepared,0.01,0.0005,0.0055,0.7057121358005392,0.76335877862668,-1.3183898417423734e-16,8.635453463404336e-17,0.003986258092506526,0.3814671741230389,0.09696592800391902,0.00991018314857094
constant,prepared,0.01,0.0005,0.006,0.7028540871135998,0.7633587786266233,1.6653345369377348e-15,1.0907941216932591e-15,0.004337685136063326,0.38143692177727817,0.09694445281483298,0.0099053551352913
constant,prepared,0.01,0.0005,0.006500000000000001,0.7001173078000713,0.7633587786265088,2.400857290751901e-15,1.5725615254413501e-15,0.004687743789963362,0.3814053010418653,0.09692207842181072,0.009900523471081077
constant,prepared,0.01,0.0005,0.007,0.6974879609810248,0.7633587786262318,1.6930901125533637e-15,1.1089740237220489e-15,0.005036487770453875,0.3813723656330414,0.0968988464145376,0.00989568886054745
constant,prepared,0.01,0.0005,0.0075,0.6949546675142126,0.7633587786256167,-4.440892098500626e-16,2.908784324519197e-16,0.005383965104210982,0.3813381635774894,0.09687479399205128,0.00989085188189546
constant,prepared,0.01,0.0005,0.008,0.6925079350676219,0.7633587786243097,-4.538036613155327e-15,2.9724139816231517e-15,0.005730219071744793,0.38130273815571125,0.09684995468994699,0.009886013016533777
constant,prepared,0.01,0.0005,0.0085,0.6901397470962045,0.7633587786216485,-5.384581669432009e-15,3.526900993497872e-15,0.006075288945292896,0.38126612863994574,0.09682435894921465,0.009881172670319568
constant,prepared,0.01,0.0005,0.009000000000000001,0.6878432601986544,0.7633587786164451,6.245004513516506e-16,4.0904779564042643e-16,0.006419210575392223,0.3812283708807372,0.09679803456849735,0.00987633118915884
constant,prepared,0.01,0.0005,0.0095,0.6856125768622439,0.7633587786066897,-2.525757381022231e-15,1.6543710846113147e-15,0.006762016863823345,0.38118949777986766,0.09677100706878193,0.009871488870693916
constant,prepared,0.01,0.0005,0.01,0.6834425718485316,0.7633587785889896,3.2335245592207684e-15,2.117958586392158e-15,0.007103738149747611,0.38114953967649373,0.09674329999118751,0.009866645973214521
constant,prepared,0.01,0.0005,0.0105,0.6813287575162912,0.7633587785579385,-1.942890293094024e-16,1.2725931420899746e-16,0.007444402528505757,0.38110852466597683,0.09671493514285584,0.009861802722558424
constant,prepared,0.01,0.0005,0.011,0.6792671779154977,0.7633587785050384,1.2628786905111156e-15,8.271855424158059e-16,0.007784036117463505,0.38106647886567907,0.0966859328020321,0.00985695931752976
constant,prepared,0.01,0.0005,0.0115,0.6772543244796692,0.7633587784173729,-2.6367796834847468e-15,1.7270906931544251e-15,0.008122663279703339,0.3810234266387106,0.09665631189064414,0.009852115934206611
constant,prepared,0.01,0.0005,0.012,0.675287068166679,0.7633587782757862,-1.6375789613221059e-15,1.0726142201580101e-15,0.00846030681378668,0.3809793907836575,0.09662609012072491,0.009847272729403991
