scenario,initialization,h,dt,t,J_full,Q_outer_full,bulk_balance_residual,bulk_balance_normalized,M_full,mass_bulk_full,energy_bulk_full,mass_coating_full
constant,prepared,0.08,0.001,0.0,0.7246376811594203,0.7246376811594203,0.0,0.0,0.0,0.36231884057971037,0.08751662815934971,0.07768115942028946
constant,prepared,0.08,0.001,0.001,0.7224420128228066,0.7246376811594524,-8.69053093377481e-15,5.996466344304389e-15,0.0007224420128228066,0.36231664491137133,0.08751508694369577,0.07765176553067066
constant,prepared,0.08,0.001,0.002,0.7185781296889566,0.7246376811594569,-6.17735029795341e-15,4.262371705587656e-15,0.0014410201425117631,0.3623105853599027,0.08751085926672846,0.07761063444447809
constant,prepared,0.08,0.001,0.003,0.7139465118028385,0.7246376811594437,-4.1581321719164066e-15,2.869111198622236e-15,0.0021549666543146015,0.362299894190548,0.08750344537020749,0.07756261475582704
constant,prepared,0.08,0.001,0.004,0.7090822347020822,0.7246376811593819,2.1250362580715887e-15,1.466275018069472e-15,0.0028640488890166837,0.3622843387440883,0.08749272235795645,0.07751004490026728
constant,prepared,0.08,0.001,0.005,0.7042359477016807,0.7246376811590814,2.230854390106174e-15,1.5392895291739773e-15,0.0035682848367183644,0.36226393701062987,0.0874787396045895,0.07745425140630396
constant,prepared,0.08,0.001,0.006,0.699513549287531,0.7246376811578629,-4.052314039881821e-15,2.7960966875244744e-15,0.004267798386005895,0.3622388128787614,0.08746161607714041,0.07739606093426891
constant,prepared,0.08,0.001,0.007,0.6949545773818082,0.7246376811536545,2.688821387764051e-15,1.855286757571954e-15,0.004962752963387704,0.3622091297749904,0.0874414940602996,0.07733602335237007
constant,prepared,0.08,0.001,0.008,0.6905688831870219,0.7246376811409191,-3.885780586188048e-16,2.6811886045382085e-16,0.0056533218465747255,0.3621750609770372,0.08741851896893424,0.07727452254452771
constant,prepared,0.08,0.001,0.009000000000000001,0.6863532325759862,0.7246376811062217,-4.288236432614667e-15,2.9588831387213526e-15,0.0063396750791507115,0.3621367765285055,0.08739283081267316,0.07721183676999552
constant,prepared,0.08,0.001,0.01,0.6822988988908677,0.7246376810199653,-3.802513859341161e-15,2.6237345634503404e-15,0.007021973978041579,0.3620944377463773,0.08736456089638077,0.07714817391897978
constant,prepared,0.08,0.001,0.011,0.6783951931089486,0.7246376808217098,4.371503159461554e-15,3.016337181434199e-15,0.007700369171150528,0.362048195258662,0.08733383089477922,0.07708369325180388
constant,prepared,0.08,0.001,0.012,0.6746311119995527,0.7246376803963723,-1.186550857568136e-15,8.187200925841319e-16,0.00837500028315008,0.36199818869026773,0.08730075299349163,0.07701851939406583
constant,prepared,0.08,0.001,0.013000000000000001,0.670996089244532,0.7246376795374977,-1.1379786002407855e-15,7.852052359236307e-16,0.009045996372394612,0.3619445470999743,0.08726543048416835,0.07695275166915846
constant,prepared,0.08,0.001,0.014,0.6674803100291767,0.7246376778940182,-1.3877787807814457e-15,9.57567363054241e-16,0.00971347668242379,0.361887389732109,0.08722795852287518,0.07688647050762917
constant,prepared,0.08,0.001,0.015,0.6640748116851801,0.7246376748965563,2.8102520310824275e-15,1.9390739182058067e-15,0.01037755149410897,0.36182682686889817,0.08718842491424716,0.07681974196123265
constant,prepared,0.08,0.001,0.016,0.6607714809124813,0.7246376696602257,-9.992007221626409e-16,6.894485092330042e-16,0.01103832297502145,0.3617629606801507,0.08714691085864905,0.07675262095251388
constant,prepared,0.08,0.001,0.017,0.6575630034671882,0.7246376608611387,-1.1934897514720433e-15,8.235079515835095e-16,0.011695885978488639,0.36169588602275526,0.08710349163658704,0.07668515365971283
constant,prepared,0.08,0.001,0.018000000000000002,0.6544427947678004,0.7246376465856622,-1.2628786905111156e-15,8.71386338028069e-16,0.012350328773256439,0.3616256911709396,0.08705823722276154,0.07661737929740924
constant,prepared,0.08,0.001,0.019,0.6514049257842707,0.7246376241524743,-2.2343238370581275e-15,1.5416835688537176e-15,0.013001733699040709,0.3615524584725705,0.08701121283091431,0.07654933146670687
constant,prepared,0.08,0.001,0.02,0.6484440512308153,0.7246375899091778,9.43689570931383e-16,6.511458859384174e-16,0.013650177750271523,0.36147626493389196,0.08696247939451497,0.07648103919341716
constant,prepared,0.08,0.001,0.021,0.6455553432307412,0.724637539006607,-3.927413949611491e-15,2.7099161568385795e-15,0.014295733093502265,0.36139718273811394,0.08691209398979026,0.07641252773655358
constant,prepared,0.08,0.001,0.022,0.6427344316119109,0.724637465155635,2.345346139520643e-15,1.6182893186573748e-15,0.014938467525114175,0.3613152797045732,0.08686011020782881,0.0763438192253053
constant,prepared,0.08,0.001,0.023,0.6399773509652773,0.7246373603719066,5.35682609381638e-15,3.696211640997277e-15,0.015578444876079452,0.3612306196951663,0.0868065784821465,0.07627493316626631
constant,prepared,0.08,0.001,0.024,0.6372804941002014,0.7246372147151855,-6.175615574477433e-15,4.2611774892797566e-15,0.016215725370179655,0.36114326297455135,0.08675154637749716,0.07620588685132637
constant,prepared,0.08,0.001,0.025,0.6346405713164426,0.7246370160299243,1.1379786002407855e-15,7.852059548899661e-16,0.016850365941496095,0.3610532665298363,0.08669505884504693,0.07613669568867311
constant,prepared,0.08,0.001,0.026000000000000002,0.6320545748458746,0.7246367496942875,-3.094746681142624e-15,2.1353779548499673e-15,0.01748242051634197,0.3609606843549878,0.08663715844837572,0.07606737347366609
constant,prepared,0.08,0.001,0.027,0.6295197478283788,0.724636398383774,-1.970645868709653e-15,1.3597480564769971e-15,0.01811194026417035,0.3608655677044347,0.08657788556415609,0.07599793261224297
constant,prepared,0.08,0.001,0.028,0.6270335572323094,0.7246359418558617,-1.1102230246251565e-16,7.660557257081187e-17,0.018738973821402657,0.36076796531980876,0.08651727856083072,0.0759283843065187
constant,prepared,0.08,0.001,0.029,0.6245936701908875,0.7246353567606342,7.355227538141662e-16,5.075123280640086e-16,0.019363567491593545,0.3606679236332401,0.08645537395814014,0.07585873871002849
constant,prepared,0.08,0.001,0.03,0.6221979332902333,0.7246346164816894,-3.344546861683284e-15,2.30774709461303e-15,0.01998576542488378,0.3605654869500455,0.08639220656993173,0.07578900505840167
constant,prepared,0.08,0.001,0.031,0.6198443544047554,0.7246336910105928,1.6237011735142914e-15,1.120359978881077e-15,0.020605609779288537,0.36046069761344235,0.08632780963235864,0.07571919178001273
constant,prepared,0.08,0.001,0.032,0.6175310867324209,0.7246325468570077,-4.3021142204224816e-16,2.968479844772569e-16,0.021223140866020958,0.3603535961533177,0.08626221491926424,0.07564930659019703
