scenario,initialization,h,dt,t,J_full,Q_outer_full,bulk_balance_residual,bulk_balance_normalized,M_full,mass_bulk_full,energy_bulk_full,mass_coating_full
constant,prepared,0.08,0.0005,0.0,0.7246376811594203,0.7246376811594203,0.0,0.0,0.0,0.3623188405797006,0.08751662815935032,0.0776811594202894
constant,prepared,0.08,0.0005,0.0005,0.724096634392033,0.7246376811606727,1.9923244911485005e-13,1.3747038988899002e-13,0.0003620483171960165,0.36231857005632057,0.08751643648999334,0.07767023136169247
constant,prepared,0.08,0.0005,0.001,0.7228546399027554,0.724637681160679,1.7351419780153865e-13,1.1972479648283936e-13,0.0007234756371473942,0.36231767853570973,0.08751580704854856,0.07765436185733163
constant,prepared,0.08,0.0005,0.0015,0.7210541250382866,0.7246376811606983,1.4315501908890305e-13,9.877696317115916e-14,0.0010840026996665375,0.36231588675762927,0.08751454651543426,0.07763523361222487
constant,prepared,0.08,0.0005,0.002,0.7188925118779141,0.7246376811606926,1.359710954940141e-13,9.382005589069619e-14,0.0014434489556054946,0.36231301417299094,0.08751253282975659,0.07761374254152044
constant,prepared,0.08,0.0005,0.0025,0.7165243843273411,0.7246376811606999,1.2090328738167955e-13,8.342326829320461e-14,0.0018017111477691653,0.36230895752455244,0.08750969910308505,0.07759044791444003
constant,prepared,0.08,0.0005,0.003,0.7140518841673664,0.724637681160708,9.990619442845627e-14,6.893527415550757e-14,0.0021587370898528487,0.362303664626068,0.08750601450967803,0.07756572730454374
constant,prepared,0.08,0.0005,0.0035,0.7115383860695528,0.7246376811607201,8.187200917220139e-14,5.6491686328714427e-14,0.002514506282887625,0.3622971149785157,0.08750147030768482,0.07753984924704359
constant,prepared,0.08,0.0005,0.004,0.7090222956328531,0.7246376811607053,6.753798909020503e-14,4.6601212472156666e-14,0.0028690174307040516,0.3622893072857726,0.08749607090878656,0.07751301231342955
constant,prepared,0.08,0.0005,0.0045000000000000005,0.7065266148727476,0.7246376811607099,5.799874469580857e-14,4.001913384003509e-14,0.0032222807381404256,0.36228025175263534,0.08748982841443279,0.07748536787664675
constant,prepared,0.08,0.0005,0.005,0.7040649133567893,0.7246376811607116,6.015674069992372e-14,4.150815108287167e-14,0.0035743131948188203,0.36226996536873024,0.08748275930125757,0.07745703417535393
constant,prepared,0.08,0.0005,0.0055,0.701644948486578,0.7246376811606886,4.166458844601095e-14,2.874856602769642e-14,0.003925135669062109,0.3622584690023781,0.08747488240126426,0.07742810542437557
constant,prepared,0.08,0.0005,0.006,0.6992708607642504,0.7246376811607042,2.450817326860033e-14,1.691063955530398e-14,0.004274771099444234,0.36224578559217824,0.08746621766199827,0.07739865795296867
constant,prepared,0.08,0.0005,0.006500000000000001,0.6969445209351702,0.7246376811606748,3.400404957609737e-14,2.3462794207466017e-14,0.004623243359911819,0.3622319390120622,0.08745678538184301,0.07736875447866266
constant,prepared,0.08,0.0005,0.007,0.6946663698804378,0.7246376811606341,2.138914045879403e-14,1.4758506916542942e-14,0.004970576544852038,0.3622169533564057,0.08744660573917273,0.07733844716610716
constant,prepared,0.08,0.0005,0.0075,0.6924359506802932,0.7246376811605487,1.3641865415081611e-14,9.412887136391566e-15,0.005316794520192184,0.3622008524911707,0.0874356985058629,0.0773077798678633
constant,prepared,0.08,0.0005,0.008,0.6902522504715009,0.7246376811603612,2.5118795932144167e-15,1.7331969193156937e-15,0.005661920645427934,0.36218365977583233,0.0874240828779604,0.07727678979882215
constant,prepared,0.08,0.0005,0.0085,0.6881139225925115,0.7246376811599736,1.013772399360846e-14,6.9950295555844486e-15,0.00600597760672419,0.3621653978965473,0.08741177738147234,0.07724550880898955
constant,prepared,0.08,0.0005,0.009000000000000001,0.6860194320693896,0.7246376811592106,-1.7069679003611782e-14,1.1778078512495677e-14,0.006348987322758885,0.36214608877201143,0.08739879982648821,0.0772139643655106
constant,prepared,0.08,0.0005,0.0095,0.6839671512488704,0.7246376811577279,-1.0817735596191369e-14,7.464237561389534e-15,0.00669097089838332,0.3621257535070659,0.0873851672925006,0.07718218032039102
constant,prepared,0.08,0.0005,0.01,0.6819554225788048,0.7246376811549503,-2.8935187579293142e-15,1.9965279429835466e-15,0.007031948609672723,0.36210441237778684,0.08737089613357549,0.07715017751773598
constant,prepared,0.08,0.0005,0.0105,0.6799825995042748,0.7246376811499419,9.020562075079397e-16,6.224187831886194e-16,0.00737193990942486,0.3620820848369691,0.08735600199599841,0.0771179742791455
constant,prepared,0.08,0.0005,0.011,0.6780470726626919,0.7246376811411488,-6.522560269672795e-16,4.500566586187711e-16,0.007710963445756206,0.36205878953272375,0.08734049984347714,0.07708558679540949
constant,prepared,0.08,0.0005,0.0115,0.6761472861467809,0.7246376811261748,-8.520961713998076e-15,5.87946358292845e-15,0.008049037088829597,0.36203454433523496,0.08732440398661766,0.07705302944535429
constant,prepared,0.08,0.0005,0.012,0.6742817470394631,0.7246376811012671,-9.08995101411847e-16,6.272066200245089e-16,0.008386177962349329,0.3620093663681954,0.08730772811453252,0.0770203150574563
constant,prepared,0.08,0.0005,0.0125,0.6724490303920816,0.7246376810608869,3.3861802251067274e-15,2.3364643556413397e-15,0.00872240247754537,0.36198327204286496,0.08729048532709303,0.0769874551260782
constant,prepared,0.08,0.0005,0.013000000000000001,0.6706477811326139,0.7246376809968645,7.292777493006497e-15,5.032016471303275e-15,0.009057726368111677,0.3619562770929343,0.08727268816693523,0.07695445999141626
constant,prepared,0.08,0.0005,0.0135,0.6688767139247662,0.7246376808974838,9.110767695830191e-15,6.286429712395162e-15,0.00939216472507406,0.36192839660944753,0.08725434865059949,0.07692133899019378
constant,prepared,0.08,0.0005,0.014,0.6671346116847466,0.724637680746232,-5.273559366969494e-16,3.6387559652837695e-16,0.009725732030916433,0.3618996450749144,0.08723547829843663,0.0768881005826068
