scenario,initialization,h,dt,t,J_full,Q_outer_full,bulk_balance_residual,bulk_balance_normalized,M_full,mass_bulk_full,energy_bulk_full,mass_coating_full
constant,prepared,0.08,0.001,0.0,0.7246376811594203,0.7246376811594203,0.0,0.0,0.0,0.3623188405797006,0.08751662815935032,0.07768115942028977
constant,prepared,0.08,0.001,0.001,0.7224658831868951,0.7246376811594999,1.587749029474672e-14,1.0955468303373914e-14,0.0007224658831868951,0.3623166687817155,0.08751510407078887,0.07765164456109931
constant,prepared,0.08,0.001,0.002,0.718611557022518,0.7246376811594686,4.5716902485892774e-14,3.154466271526292e-14,0.001441077440209413,0.36231064265761775,0.0875109004282277,0.0776104353720605
constant,prepared,0.08,0.001,0.003,0.7139798160919654,0.7246376811594353,4.144254384108592e-14,2.859535525034788e-14,0.0021550572563013783,0.362299984792526,0.08750351057695752,0.07756235465510898
constant,prepared,0.08,0.001,0.004,0.709112785458664,0.7246376811593481,3.853167784839684e-14,2.658685771539576e-14,0.002864170041760042,0.362284459896814,0.08749280974843461,0.07750973735154043
constant,prepared,0.08,0.001,0.005,0.7042637351155802,0.72463768115901,-1.0585282650410477e-14,7.303845028787418e-15,0.003568433776875622,0.36226408595076265,0.08747884730155536,0.07745390716874756
constant,prepared,0.08,0.001,0.006,0.6995391381185511,0.7246376811575709,-1.349614864309956e-15,9.312342563762471e-16,0.004267972914994173,0.36223898740774235,0.08746174259039867,0.07739568829029347
constant,prepared,0.08,0.001,0.007,0.6949785164666046,0.7246376811527427,-4.85722573273506e-15,3.3514857556180866e-15,0.004962951431460778,0.36220932824306046,0.08744163827371504,0.07733562859827503
constant,prepared,0.08,0.001,0.008,0.6905915913983879,0.7246376811382791,2.192690473634684e-15,1.51295642685207e-15,0.0056535430228591655,0.36217528215333217,0.08741868004893256,0.07727411045655432
constant,prepared,0.08,0.001,0.009000000000000001,0.6863750072272484,0.7246376810992929,7.202571872255703e-15,4.9697745922687816e-15,0.006339918030086414,0.3621370194794538,0.08739300812375358,0.07721141098391408
constant,prepared,0.08,0.001,0.01,0.6823199459081327,0.724637681003347,2.8449465006019636e-15,1.963013085838147e-15,0.007022237975994547,0.36209470174436026,0.08736475393833684,0.07714773722037435
constant,prepared,0.08,0.001,0.011,0.6784156543455926,0.7246376807848374,-8.416878305439468e-15,5.8076460337553806e-15,0.0077006536303401395,0.36204847971791015,0.0873340392591956,0.07708324779207604
constant,prepared,0.08,0.001,0.012,0.6746510855737867,0.7246376803198832,1.0443035325380379e-14,7.205694382860647e-15,0.008375304715913925,0.36199849312317284,0.0873009763344443,0.07701806684942954
constant,prepared,0.08,0.001,0.013000000000000001,0.6710156437206941,0.7246376793880784,6.6405214660392176e-15,4.581959822767419e-15,0.009046320359634619,0.3619448710875026,0.0872656684987139,0.07695229335741362
constant,prepared,0.08,0.001,0.014,0.6674994940491321,0.7246376776172089,1.4363510381087963e-15,9.910822211397278e-16,0.00971381985368375,0.3618877329039404,0.08722821093812205,0.07688600747413409
constant,prepared,0.08,0.001,0.015,0.6640936604405223,0.724637674407546,-1.0366707492437399e-14,7.153028236430815e-15,0.010377913514124273,0.3618271888899683,0.08718869147877913,0.07681927504252754
constant,prepared,0.08,0.001,0.016,0.660790020479163,0.7246376688322158,-1.1934897514720433e-15,8.235079425248507e-16,0.011038703534603437,0.3617633412416177,0.08714719133684641,0.07675215082372577
constant,prepared,0.08,0.001,0.017,0.6575812537088868,0.7246376595117798,-2.733924198139448e-15,1.8864077530702847e-15,0.011696284788312323,0.36169628483581295,0.08710378580484994,0.07668468087013493
constant,prepared,0.08,0.001,0.018000000000000002,0.6544607712847665,0.7246376444614353,6.522560269672795e-15,4.5005668139974e-15,0.012350745559597089,0.3616261079626386,0.08705854486698439,0.0766169042974227
constant,prepared,0.08,0.001,0.019,0.6514226412252211,0.7246376209117357,-4.2049697057677804e-15,2.9014293382098486e-15,0.01300216820082231,0.3615528929829515,0.08701153374479369,0.07654885462831258
constant,prepared,0.08,0.001,0.02,0.6484615161791165,0.7246375851041531,-2.789435349370706e-15,1.924710646198252e-15,0.013650629717001426,0.36147671691402206,0.08696281337840207,0.07648056082602073
constant,prepared,0.08,0.001,0.021,0.6455725668049895,0.7246375320653206,1.2906342661267445e-15,8.90537826855484e-16,0.014296202283806415,0.36139765194876405,0.08691244084990539,0.0764120480991956
constant,prepared,0.08,0.001,0.022,0.6427514218746089,0.7246374553641983,-6.175615574477433e-15,4.26117607416086e-15,0.014938953705681024,0.3613157659152721,0.08686046975571574,0.07634333853621283
constant,prepared,0.08,0.001,0.023,0.639994115201685,0.7246373468581198,-2.761679773755077e-15,1.905559922994008e-15,0.015578947820882708,0.3612311226836172,0.08680695053427745,0.07627445161036411
constant,prepared,0.08,0.001,0.024,0.6372970390095879,0.7246371964339715,-1.0269562977782698e-15,7.086003194647254e-16,0.016216244859892297,0.36114378252619034,0.08675193075499107,0.07620540458618967
constant,prepared,0.08,0.001,0.025,0.6346569031437171,0.724636991751333,-3.2751579226442118e-15,2.2598611166183227e-15,0.016850901763036014,0.361053802437587,0.08669545537344399,0.07613621284927552
constant,prepared,0.08,0.001,0.026000000000000002,0.6320706994725743,0.7246367179943746,-4.884981308350689e-15,3.3706415829101197e-15,0.01748297246250859,0.3609612364190628,0.08663756695746079,0.07606689017619268
constant,prepared,0.08,0.001,0.027,0.6295356708361668,0.7246363576388231,7.507883204027621e-15,5.180448872653516e-15,0.018112508133344758,0.36086613573226434,0.0865783058878053,0.0759974489571708
constant,prepared,0.08,0.001,0.028,0.6270492839474328,0.724635890240177,-6.800116025829084e-16,4.692091654179053e-16,0.01873955741729219,0.3607685491259682,0.0865177105368877,0.07592790038112297
constant,prepared,0.08,0.001,0.029,0.6246092057160364,0.7246352922477706,-6.356026815979021e-15,4.38567296126516e-15,0.019364166623008227,0.360668523039437,0.08645581742828749,0.07585825459043191
constant,prepared,0.08,0.001,0.03,0.622213282527346,0.7246345368493045,1.1171619185290638e-14,7.708450685958548e-15,0.019986379905535572,0.36056610178511667,0.08639266137958171,0.0757885208112587
constant,prepared,0.08,0.001,0.031,0.6198595220719841,0.7246335938485612,5.689893001203927e-16,3.9260483156629893e-16,0.020606239427607555,0.36046132771334033,0.08632827563054742,0.07571870746390268
constant,prepared,0.08,0.001,0.032,0.61754607737696,0.7246324295785637,-2.4980018054066022e-15,1.723633737217233e-15,0.021223785504984514,0.3603542413611368,0.08626269195853957,0.075648822256782
constant,prepared,0.08,0.001,0.033,0.6152712327387261,0.724631006851073,3.316791286067655e-15,2.2886070667062407e-15,0.02183905673772324,0.3602448815870246,0.0861959407826232,0.07557887226689024
constant,prepared,0.08,0.001,0.034,0.613033391302136,0.7246292849426184,1.3322676295501878e-15,9.19275315829725e-16,0.022452090129025375,0.36013328569338104,0.08612805125774696,0.07550886400900801
constant,prepared,0.08,0.001,0.035,0.6108310640654723,0.7246272196162244,-1.0130785099704553e-15,6.990342637880761e-16,0.023062921193090846,0.36001948953783264,0.0860590513601708,0.07543880349552429
constant,prepared,0.08,0.001,0.036000000000000004,0.6086628601247668,0.7246247631772716,-1.5126788710517758e-15,1.04376702806782e-15,0.02367158405321561,0.3599035276347832,0.08598896796508947,0.07536869628836473
constant,prepared,0.08,0.001,0.037,0.6065274779957697,0.7246218645615293,1.2073675392798577e-15,8.3310178613671715e-16,0.024278111531211382,0.359785433248215,0.08591782691737558,0.0752985475442544
constant,prepared,0.08,0.001,0.038,0.6044236978768881,0.7246184694525827,3.8719027983802334e-15,2.6716837629775537e-15,0.02488253522908827,0.3596652384766399,0.08584565309614922,0.07522836205432641
constant,prepared,0.08,0.001,0.039,0.6023503747343021,0.7246145204258978,-1.3183898417423734e-15,9.097180670403077e-16,0.02548488560382257,0.35954297433095184,0.0857724704738659,0.07515814427891175
constant,prepared,0.08,0.001,0.04,0.6003064321077677,0.7246099571161102,-5.3013149425851225e-15,3.658047264271631e-15,0.02608519203593034,0.3594186708059393,0.08569830217048877,0.07508789837820384
constant,prepared,0.08,0.001,0.041,0.5982908565497133,0.7246047164045678,-3.524958103184872e-15,2.432331741280576e-15,0.026683482892480053,0.3592923569460831,0.08562317050324614,0.07501762823937337
constant,prepared,0.08,0.001,0.042,0.5963026926215678,0.7245987326233658,-6.2450045135165055e-15,4.309284733984333e-15,0.02727978558510162,0.35916406090608294,0.08554709703242933,0.07494733750062929
constant,prepared,0.08,0.001,0.043000000000000003,0.5943410383823611,0.7245919377730151,3.4139358007223564e-15,2.355764412184085e-15,0.027874126623483982,0.3590338100066907,0.08547010260361991,0.07487702957262533
constant,prepared,0.08,0.001,0.044,0.5924050413123034,0.724584261750174,1.1102230246251565e-15,7.661103637163625e-16,0.028466531664796287,0.3589016307862548,0.0853922073866867,0.07480670765756514
constant,prepared,0.08,0.001,0.045,0.5904938946224434,0.7245756325826962,2.7755575615628914e-16,1.9152987188305114e-16,0.02905702555941873,0.3587675490482961,0.08531343091186304,0.07473637476629796
constant,prepared,0.08,0.001,0.046,0.5886068339068815,0.724565976669042,-5.6343818499726694e-15,3.88810821332996e-15,0.029645632393325613,0.35863158990553146,0.08523379210318915,0.07466603373365906
constant,prepared,0.08,0.001,0.047,0.5867431341004795,0.7245552190194693,-8.881784197001252e-15,6.129128576991623e-15,0.03023237552742609,0.35849377782061126,0.0851533093095344,0.0745956872322649
constant,prepared,0.08,0.001,0.048,0.5849021067088305,0.7245432834966298,3.969047313034935e-15,2.7389994520964916e-15,0.030817277634134922,0.35835413664382726,0.08507200033343756,0.07452533778495346
constant,prepared,0.08,0.001,0.049,0.5830830972817534,0.7245300930535677,1.304512053934559e-15,9.002469783115753e-16,0.03140036073141667,0.35821268964805447,0.08498988245796661,0.074454987776026
constant,prepared,0.08,0.001,0.05,0.5812854831048262,0.7245155699671586,-2.6367796834847468e-15,1.8196846229296862e-15,0.0319816462145215,0.3580694595611919,0.08490697247173293,0.07438463946142691
constant,prepared,0.08,0.001,0.051000000000000004,0.5795086710870505,0.7244996360653781,1.582067810090848e-15,1.091834785923952e-15,0.032561154885608554,0.35792446859621524,0.0848232866922537,0.07431429497798493
constant,prepared,0.08,0.001,0.052000000000000005,0.5777520958243575,0.7244822129471833,-1.1657341758564144e-15,8.045291899674288e-16,0.03313890698143291,0.3577777384790893,0.08473884098778525,0.07424395635181599
constant,prepared,0.08,0.001,0.053,0.5760152178218019,0.724463222193795,-1.6653345369377348e-15,1.1493575421916016e-15,0.03371492219925471,0.3576292904747177,0.08465365079774492,0.07417362550597942
constant,prepared,0.08,0.001,0.054,0.5742975218590249,0.7244425855704161,-3.885780586188048e-16,2.6819106604068826e-16,0.034289219721113734,0.35747914541100617,0.08456773115185937,0.07410330426746771
constant,prepared,0.08,0.001,0.055,0.5725985154852562,0.7244202252176538,-7.771561172376096e-16,5.363986883470237e-16,0.03486181823659899,0.3573273237012743,0.0844810966881108,0.07403299437360003
constant,prepared,0.08,0.001,0.056,0.5709177276313374,0.7243960638323708,-5.023759186428833e-15,3.467550030470193e-15,0.03543273596423033,0.357173845365072,0.08439376166959973,0.0739626974778759
constant,prepared,0.08,0.001,0.057,0.5692547073282238,0.7243700248372457,4.440892098500626e-16,3.0653477823702205e-16,0.03600199067155855,0.35701873004756446,0.08430574000039164,0.07389241515535101
constant,prepared,0.08,0.001,0.058,0.5676090225221966,0.7243420325389999,1.609823385706477e-15,1.1112315131455521e-15,0.036569599694080746,0.356861997037547,0.08421704524043001,0.07382214890757467
constant,prepared,0.08,0.001,0.059000000000000004,0.5659802589778069,0.7243120122752255,9.71445146547012e-16,6.705985335625495e-16,0.03713557995305855,0.3567036652842513,0.08412769061959083,0.07375190016713618
constant,prepared,0.08,0.001,0.06,0.5643680192611612,0.7242798905496795,-7.188694084447889e-15,4.9626492314954314e-15,0.03769994797231971,0.35654375341296185,0.0840376890509276,0.07368167030185663
constant,prepared,0.08,0.001,0.061,0.5627719217960939,0.7242455951563647,1.0436096431476471e-14,7.204804904076249e-15,0.0382627198941158,0.3563822797395969,0.08394705314317477,0.07361146061865682
constant,prepared,0.08,0.001,0.062,0.5611915999873769,0.7242090552924628,1.1962653090336062e-14,8.259115929933377e-15,0.03882391149410318,0.35621926228429596,0.08385579521256653,0.07354127236713735
constant,prepared,0.08,0.001,0.063,0.5596267014049724,0.7241702016602648,2.0539125955565396e-15,1.4181145474141613e-15,0.03938353819550815,0.3560547187840425,0.08376392729399962,0.07347110674288657
constant,prepared,0.08,0.001,0.064,0.5580768870243563,0.7241289665587849,2.609024107869118e-15,1.801491328449234e-15,0.0399416150825325,0.3558886667045061,0.08367146115161504,0.07340096489055387
constant,prepared,0.08,0.001,0.065,0.5565418305183013,0.7240852839650431,1.7208456881689926e-15,1.1882893674801352e-15,0.0404981569130508,0.35572112325106026,0.0835784082887994,0.07333084790669583
constant,prepared,0.08,0.001,0.066,0.5550212175958777,0.7240390896056943,2.0539125955565396e-15,1.4183713455823777e-15,0.04105317813064668,0.355552105379052,0.08348477995768892,0.0732607568424255
constant,prepared,0.08,0.001,0.067,0.5535147453848864,0.7239903210192515,-1.6375789613221059e-15,1.1309398163063034e-15,0.04160669287603156,0.355381629803415,0.08339058716816702,0.07319069270587503
constant,prepared,0.08,0.001,0.068,0.5520221218544371,0.7239389176094767,3.0531133177191805e-16,2.1086815775845322e-16,0.042158714997885996,0.3552097130076602,0.08329584069641763,0.07312065646449047
constant,prepared,0.08,0.001,0.069,0.5505430652742723,0.7238848206903807,8.326672684688674e-16,5.75137953351984e-16,0.04270925806316027,0.3550363712522428,0.08320055109304818,0.07305064904716999
constant,prepared,0.08,0.001,0.07,0.549077303708351,0.7238279735232378,6.106226635438361e-16,4.2180095677404237e-16,0.04325833536686862,0.35486162058242804,0.08310472869081689,0.07298067134626152
constant,prepared,0.08,0.001,0.07100000000000001,0.5476245745397439,0.7237683213461874,-2.4147350785597155e-15,1.6681685335912357e-15,0.043805959941408366,0.35468547683562396,0.0830083836119773,0.07291072421942874
constant,prepared,0.08,0.001,0.07200000000000001,0.546184624024743,0.7237058113968462,-2.3592239273284576e-15,1.6299606070420056e-15,0.044352144565433106,0.35450795564824855,0.08291152577528162,0.07284080849139647
constant,prepared,0.08,0.001,0.073,0.5447572068740317,0.723640392928351,3.941291737419306e-15,2.723239177867127e-15,0.04489690177230714,0.3543290724621976,0.08281416490264623,0.0727709249555851
constant,prepared,0.08,0.001,0.074,0.5433420858585727,0.7235720172194394,-3.3584246494910985e-15,2.3207259053472965e-15,0.04544024385816571,0.3541488425308375,0.08271631052550672,0.07270107437564227
constant,prepared,0.08,0.001,0.075,0.5419390314391946,0.7235006375787157,1.199040866595169e-14,8.286384312029754e-15,0.04598218288960491,0.353967280924695,0.08261797199088672,0.07263125748687932
constant,prepared,0.08,0.001,0.076,0.5405478214171489,0.7234262093440309,-2.1094237467877974e-15,1.4579398144148853e-15,0.04652273071102206,0.3537844025367704,0.08251915846718266,0.07256147499762125
constant,prepared,0.08,0.001,0.077,0.5391682406052256,0.7233486898767306,-2.498001805406602e-16,1.726692700468082e-16,0.04706189895162728,0.3536002220874986,0.08241987894969593,0.0724917275904733
constant,prepared,0.08,0.001,0.078,0.5378000805172141,0.7232680385518226,-5.245803791353865e-15,3.626459010865042e-15,0.0475996990321445,0.3534147541294635,0.08232014226591496,0.07242201592351587
constant,prepared,0.08,0.001,0.079,0.5364431390748414,0.7231842167439633,-1.3877787807814457e-15,9.594918892379377e-16,0.04813614217121934,0.3532280130517905,0.0822199570805711,0.07235234063142461
constant,prepared,0.08,0.001,0.08,0.535097220330956,0.7230971878099435,-1.6930901125533637e-15,1.1707209909647527e-15,0.04867123939155029,0.3530400130843114,0.08211933190046791,0.07228270232652931
constant,prepared,0.08,0.001,0.081,0.5337621342076728,0.7230069170677556,1.0519363158323358e-14,7.274732032292212e-15,0.04920500152575796,0.3528507683014557,0.0820182750791168,0.07221310159981116
constant,prepared,0.08,0.001,0.082,0.5324376962488501,0.722913371772845,7.91033905045424e-15,5.4711528098139796e-15,0.04973743922200681,0.35266029262592946,0.0819167948211579,0.07214353902184484
constant,prepared,0.08,0.001,0.083,0.5311237273855658,0.7228165210915476,-2.7755575615628914e-16,1.9199599625721314e-16,0.05026856294939237,0.35246859983222745,0.08181489918662144,0.0720740151436846
constant,prepared,0.08,0.001,0.084,0.5298200537141875,0.722716336072294,-1.0325074129013956e-14,7.143241140173427e-15,0.05079838300310656,0.3522757035498683,0.08171259609498975,0.07200453049770643
constant,prepared,0.08,0.001,0.085,0.5285265062855997,0.7226127896146982,2.0816681711721685e-15,1.440375953131223e-15,0.05132690950939216,0.35208161726653897,0.08160989332909836,0.07193508559840157
constant,prepared,0.08,0.001,0.08600000000000001,0.5272429209057429,0.7225058564367708,2.7478019859472624e-15,1.901577656061344e-15,0.0518541524302979,0.35188635433100685,0.08150679853890117,0.07186568094312833
constant,prepared,0.08,0.001,0.08700000000000001,0.5259691379458986,0.7223955130405861,3.941291737419306e-15,2.7279320443383364e-15,0.0523801215682438,0.3516899279559106,0.08140331924505217,0.07179631701282292
constant,prepared,0.08,0.001,0.088,0.5247050021627803,0.7222817376764892,1.4183099139586375e-14,9.818259551468033e-15,0.05290482657040658,0.35149235122039985,0.081299462842371,0.07172699427267609
constant,prepared,0.08,0.001,0.089,0.523450362527435,0.722164510306312,5.35682609381638e-15,3.708868282342079e-15,0.05342827693293401,0.3512936370726198,0.08119523660315761,0.07165771317277049
constant,prepared,0.08,0.001,0.09,0.5222050720625853,0.7220438125653009,1.0574874309554616e-14,7.32287579058657e-15,0.053950482004996594,0.35109379833211785,0.08109064768039018,0.07158847414868919
constant,prepared,0.08,0.001,0.091,0.5209689876878784,0.7219196277237029,-3.0808688933348094e-15,2.13380324832638e-15,0.054471450992684474,0.3508928476920813,0.08098570311079523,0.07151927762209204
constant,prepared,0.08,0.001,0.092,0.519741970072653,0.7217919406471927,2.886579864025407e-15,1.9995927506735236e-15,0.054991192962757125,0.3506907977215064,0.08088040981779787,0.07145012400126173
constant,prepared,0.08,0.001,0.093,0.5185238834955411,0.7216607377572871,-3.858025010572419e-15,2.67301850351597e-15,0.055509716846252666,0.35048766086724575,0.08077477461437146,0.07138101368162555
constant,prepared,0.08,0.001,0.094,0.5173145957109003,0.721526006991056,2.6367796834847468e-15,1.8272242843198218e-15,0.05602703144196357,0.350283449455962,0.08066880420576844,0.0713119470462502
constant,prepared,0.08,0.001,0.095,0.516113977821249,0.7213877377608353,3.83026943495679e-15,2.6547924468787167e-15,0.056543145419784814,0.3500781756960229,0.08056250519216544,0.0712429244663124
constant,prepared,0.08,0.001,0.096,0.5149219041557628,0.7212459209137583,-2.220446049250313e-16,1.539312725982002e-16,0.05705806732394058,0.34987185167926893,0.08045588407119884,0.07117394630154845
constant,prepared,0.08,0.001,0.097,0.5137382521542987,0.7211005486912068,3.469446951953614e-15,2.405661012358562e-15,0.05757180557609488,0.3496644893827296,0.08034894724041952,0.07110501290068008
constant,prepared,0.08,0.001,0.098,0.5125629022564455,0.7209516146885597,-3.747002708109903e-15,2.5986506110597743e-15,0.05808436847835132,0.3494561006703008,0.08024170099965293,0.07103612460182375
constant,prepared,0.08,0.001,0.099,0.5113957377958869,0.7207991138148861,8.132383655379272e-15,5.641227562238489e-15,0.058595764216147206,0.3492466972942787,0.080134151553278,0.07096728173287675
constant,prepared,0.08,0.001,0.1,0.5102366448991412,0.720643042253128,-1.887379141862766e-15,1.3095104172252736e-15,0.059106000861046344,0.34903629089692595,0.08002630501242855,0.0708984846118906
constant,prepared,0.08,0.001,0.101,0.5090855123889731,0.7204833974203765,3.6637359812630166e-15,2.5425540646603874e-15,0.059615086373435315,0.3488248930118917,0.07991816739712067,0.07082973354742297
constant,prepared,0.08,0.001,0.10200000000000001,0.5079422316917868,0.7203201779287967,4.107825191113079e-15,2.851388394341998e-15,0.0601230286051271,0.3486125150656549,0.07980974463829121,0.07076102883887629
constant,prepared,0.08,0.001,0.10300000000000001,0.5068066967492221,0.7201533835467646,-4.163336342344337e-15,2.8905900030906366e-15,0.06062983530187632,0.348399168378858,0.07970104257979317,0.07069237077682046
constant,prepared,0.08,0.001,0.10400000000000001,0.5056788039333083,0.7199830151607124,1.6930901125533637e-15,1.1757847594331343e-15,0.061135514105809634,0.3481848641676312,0.07959206698030172,0.07062375964330304
