scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.08,0.0005,0.0,0.7246376811594197,0.7246376811594203,0.0,0.0,0.0,0.0,0.36231884057971037,0.08751662815934971
constant,prepared,0.08,0.0005,0.0005,0.7200303729566689,0.7246376811601611,1.4355842903324145e-12,9.90553160327372e-13,-1.4406253967536031e-12,0.0003600151864783345,0.362316536925611,0.08751499549673208
constant,prepared,0.08,0.0005,0.001,0.7160540132678405,0.7246376811601541,1.4228895839352163e-12,9.81793812913341e-13,-1.4361845046551025e-12,0.0007180421931122547,0.3623122450916627,0.08751197300707833
constant,prepared,0.08,0.0005,0.0015,0.7124601447082477,0.7246376811601563,1.4199318804086758e-12,9.797529974800313e-13,-1.4344081478157023e-12,0.0010742722654663785,0.36230615632343194,0.08750770801225437
constant,prepared,0.08,0.0005,0.002,0.7091399086272694,0.7246376811601607,1.4226935601824309e-12,9.816585565239107e-13,-1.439071084519128e-12,0.0014288422197800132,0.3622984074371673,0.08750230597506521
constant,prepared,0.08,0.0005,0.0025,0.7060314114387073,0.7246376811601515,1.4172586715321955e-12,9.779084833552717e-13,-1.4366285938649526e-12,0.0017818579254993668,0.3622891043023042,0.08749584855329826
constant,prepared,0.08,0.0005,0.003,0.7030945863285268,0.724637681160151,1.4104273304837989e-12,9.731948580318926e-13,-1.4268586312482512e-12,0.0021334052186636303,0.36227833275488786,0.08748840199105658
constant,prepared,0.08,0.0005,0.0035,0.700301384600073,0.7246376811601508,1.407207683712386e-12,9.709733017596247e-13,-1.4260814751310136e-12,0.0024835559109636666,0.36226616460660654,0.0874800217395929
constant,prepared,0.08,0.0005,0.004,0.6976311007609675,0.7246376811601467,1.4233197953572585e-12,9.820906587945593e-13,-1.432409746371377e-12,0.0028323714613441506,0.36225266131641026,0.0874707552809891
constant,prepared,0.08,0.0005,0.0045000000000000005,0.6950678484218322,0.7246376811601389,1.4157806871306633e-12,9.768886741182345e-13,-1.4231948952669882e-12,0.003179905385555067,0.36223787640003935,0.08746064398146033
constant,prepared,0.08,0.0005,0.005,0.6925990742307347,0.7246376811601305,1.4055909214327755e-12,9.69857735786724e-13,-1.4028778139163478e-12,0.003526204922670434,0.3622218570965755,0.08744972437329038
constant,prepared,0.08,0.0005,0.0055,0.6902146249502175,0.7246376811601232,1.4143686222212182e-12,9.759143493307415e-13,-1.4165335571192372e-12,0.003871312235145543,0.3622046455684633,0.08743802907807674
constant,prepared,0.08,0.0005,0.006,0.6879061319375281,0.7246376811601025,1.415055572717705e-12,9.763883451733439e-13,-1.4201972931005002e-12,0.004215265301114307,0.362186279793856,0.08742558749328798
