audit_case,reference_case,scenario,initialization,h,T,dt,num_steps,n_layer,n_bulk,ny,full_num_cells,full_num_dofs,reduced_num_cells,reduced_num_dofs,E_L2_T,rel_E_L2_T,rate_E_L2_T,E_B_T,rel_E_B_T,rate_E_B_T,E_J_L2_rel,rate_E_J_L2_rel,E_J_T,rel_E_J_T,rate_E_J_T,E_M_T,rel_E_M_T,rate_E_M_T,J_full_0,J_red_0,initial_flux_mismatch,J_full_T,J_red_T,M_full_T,M_red_T,B_full_T,B_red_T,Q_outer_full_T,Q_outer_red_T,max_full_balance_residual,max_full_balance_normalized,global_full_balance_error,max_reduced_balance_residual,max_reduced_balance_normalized,global_reduced_balance_error,max_reduced_robin_flux_mismatch,full_cumulative_consistency_error,reduced_cumulative_consistency_error,elapsed_seconds,abs_change_to_reference_E_L2_T,rel_change_to_reference_E_L2_T,abs_change_to_reference_E_B_T,rel_change_to_reference_E_B_T,abs_change_to_reference_E_J_L2_rel,rel_change_to_reference_E_J_L2_rel,abs_change_to_reference_E_M_T,rel_change_to_reference_E_M_T,primary_metrics_accepted,all_metrics_accepted
baseline,combined_reference,constant,prepared,0.08,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,0.000528224620475382,0.003117099407759708,,0.0004649667528334178,0.003116771599915385,,0.0070492413880770466,,0.0005480492943058801,0.0031259204429586918,,0.0016826287611301227,0.00519727776498483,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.17532413390122945,0.17477608460692357,0.3237519403843204,0.3220693116231903,0.14918217069420192,0.1487172039413685,0.3245264047967394,0.32351555390826175,9.713150422863137e-15,6.702073791765427e-15,1.1102230246251565e-16,9.46465128492946e-14,6.555760555965551e-14,5.4789506265251475e-14,9.414691248821327e-14,1.1102230246251565e-16,6.938893903907228e-17,606.5059635070002,1.300339490915717e-07,0.0002462323083955684,1.1539335861843192e-07,0.00024823711121078836,8.338407364056645e-06,0.0011814825486554047,7.231405035890148e-08,4.297867716973738e-05,True,True
exterior_refined,combined_reference,constant,prepared,0.08,1.0,0.001,1000,8,128,128,34816,17673,32768,16641,0.000528233674155643,0.003117100600529981,,0.00046497475203230443,0.003116772256098162,,0.007048895295395643,,0.0005480455961929254,0.0031259262596966472,,0.0016826335430299433,0.005197267818216393,,0.7246376811594203,0.7246376811594207,4.440892098500626e-16,0.17532262461178785,0.17477457901559493,0.3237534800751123,0.32207084653208234,0.14918470578739013,0.14871973103535782,0.3245273689956929,0.3235165160085056,4.5716902485892774e-14,3.1544662716117703e-14,1.124100812432971e-14,7.108202915162565e-14,4.9282754644859114e-14,2.0733414984874798e-14,6.0285110237146e-14,1.6653345369377348e-16,1.3877787807814457e-16,671.7013130619998,1.3908762935257914e-07,0.0002633763588971289,1.2339255750504208e-07,0.00026544519014519836,8.684500045460022e-06,0.001230520985546609,7.709595017946214e-08,4.5820721386952254e-05,True,True
coating_refined,combined_reference,constant,prepared,0.08,1.0,0.001,1000,16,64,64,10240,5265,8192,4225,0.0005282280101150419,0.0031171193466367924,,0.00046496976457743866,0.0031167917253568374,,0.007048916523489624,,0.000548052698556567,0.0031259397991598528,,0.0016826254221248838,0.005197267505118799,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.17532413730548013,0.17477608460692357,0.3237519370453152,0.3220693116231903,0.14918217370594594,0.1487172039413685,0.32452641108507985,0.32351555390826175,9.159339953157541e-15,6.335832240192193e-15,1.1102230246251565e-16,9.46465128492946e-14,6.555760555965551e-14,5.4789506265251475e-14,9.414691248821327e-14,1.6653345369377348e-16,6.938893903907228e-17,331.9822682459999,1.33423588751457e-07,0.00025265093063932536,1.1840510263927406e-07,0.0002547160511115878,8.663271951479465e-06,0.001227513142263807,6.897504511993446e-08,4.0994193829067184e-05,True,True
time_refined,combined_reference,constant,prepared,0.08,1.0,0.0005,2000,8,64,64,9216,4745,8192,4225,0.0005280822325950186,0.0031163379895743164,,0.0004648404465690814,0.0031160157843880534,,0.007058233983804573,,0.0005479658281774547,0.003125006202936658,,0.0016825550867377581,0.005195249579793554,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.1753487169601505,0.17480075113197305,0.32386414952650233,0.3221815944397646,0.14917782153031367,0.1487129810837446,0.3245103619589727,0.32349979565071285,1.6140734582226202e-14,1.113710686161601e-14,0.0,1.4381967838872356e-12,9.923580228284874e-13,9.738598816255717e-13,1.4410694859634532e-12,8.881784197001252e-16,7.771561172376096e-16,720.5251408869999,1.2353931271849236e-08,2.3393406384093302e-05,1.0912905717974652e-08,2.3476118753969708e-05,6.541883634698931e-07,9.269301693088485e-05,1.3603420057073379e-09,8.084970986075031e-07,True,True
combined_reference,combined_reference,constant,prepared,0.08,1.0,0.0005,2000,16,128,128,36864,18705,32768,16641,0.0005280945865262904,0.0031163586227870954,,0.0004648513594747994,0.0031160359375517668,,0.007057579795441103,,0.0005479656011111167,0.0031250317384676515,,0.0016825564470797638,0.0051952291425846646,,0.7246376811594203,0.7246376811594207,4.440892098500626e-16,0.1753472114749816,0.1747992458738705,0.3238656854012564,0.3221831289541766,0.1491803588889375,0.1487155075294627,0.3245113323955489,0.32350075770373743,1.9923244911485005e-13,1.3747038988982267e-13,9.270362255620057e-15,2.7979658520638218e-12,1.9305964379727954e-12,1.841776731126288e-12,2.7353674880714607e-12,3.885780586188048e-16,8.326672684688674e-16,1454.9055151179996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
baseline,combined_reference,constant,prepared,0.01,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,8.7123718313595e-06,4.9854613390069695e-05,,7.669650923164406e-06,4.985323747633188e-05,,0.00015849942155823685,,9.019034365648215e-06,4.9890314992609055e-05,,2.8964415656307363e-05,8.781683717815842e-05,,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.18077725841146383,0.18076823937709818,0.3298275887293208,0.32979862431366447,0.15384459087146785,0.15383692122054468,0.33467903553464895,0.3346623535044532,7.320533068622126e-15,5.7650843395134e-15,2.4702462297909733e-15,1.4959561367433594e-13,9.798512695662074e-14,8.396061623727746e-14,1.4155343563970746e-13,8.326672684688674e-17,1.1102230246251565e-16,561.3755143109993,2.1292290615941074e-09,0.00024445117763222595,1.907872221318385e-09,0.00024881796490086193,1.9418492178653677e-06,0.012103177745177813,1.2056824427730817e-09,4.1628066911818414e-05,True,True
exterior_refined,combined_reference,constant,prepared,0.01,1.0,0.001,1000,8,128,128,34816,17673,32768,16641,8.712574756765446e-06,4.985495275855849e-05,,7.66982113642456e-06,4.9853510005086704e-05,,0.0001583823825759722,,9.018918203651527e-06,4.989012286903419e-05,,2.8964538348053015e-05,8.78167710540154e-05,,0.7633587786259542,0.7633587786259429,1.1324274851176597e-14,0.18077562621617416,0.1807666072979705,0.3298292342158329,0.3298002696774848,0.15384716413432042,0.153839494313184,0.3346799496567224,0.33466326758557546,3.372302437298913e-14,2.2088580964588318e-14,6.106226635438361e-16,1.560002127476423e-13,1.0218013934998806e-13,8.876233081878127e-14,1.4943601911454607e-13,1.1102230246251565e-16,1.1102230246251565e-16,2447.6193403039997,2.3321544675413553e-09,0.0002677485087414321,2.078085481471703e-09,0.00027101657784634695,2.0588882001300215e-06,0.012832659515663059,1.3283741884251299e-09,4.5864190800115365e-05,True,True
coating_refined,combined_reference,constant,prepared,0.01,1.0,0.001,1000,16,64,64,10240,5265,8192,4225,8.7123796205125e-06,4.9854657958568075e-05,,7.669658365516696e-06,4.985328584970154e-05,,0.00015849795328723386,,9.019028955892239e-06,4.989028506912128e-05,,2.8964421074140212e-05,8.781685360297326e-05,,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.18077725840605408,0.18076823937709818,0.3298275887347386,0.32979862431366447,0.1538445908789102,0.15383692122054468,0.33467903553667794,0.3346623535044532,8.1601392309949e-15,5.34520195740349e-15,2.220446049250313e-15,1.4959561367433594e-13,9.798512695662074e-14,8.396061623727746e-14,1.4155343563970746e-13,5.551115123125783e-17,1.1102230246251565e-16,202.21574060700004,2.1370182145955593e-09,0.00024534542976240167,1.9153145736083843e-09,0.0002497885702329073,1.9433174888683574e-06,0.01211232919976233,1.2111002756221012e-09,4.181512604144902e-05,True,True
time_refined,combined_reference,constant,prepared,0.01,1.0,0.0005,2000,8,64,64,9216,4745,8192,4225,8.710037761563061e-06,4.9842254882744754e-05,,7.667570992631045e-06,4.984091204871281e-05,,0.00016060001298797859,,9.017987046722187e-06,4.987714606488981e-05,,2.8963088033684414e-05,8.778123277068069e-05,,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.18080399056894414,0.18079497258189742,0.3299462438554202,0.3299172807673865,0.153840904539167,0.15383323696817436,0.3346640619097449,0.33464738468439287,1.8263168755083825e-14,1.1962375534662189e-14,2.1094237467877974e-15,1.5384984952682146e-12,1.007716514398688e-12,1.027011808929501e-12,1.5423218258092675e-12,6.106226635438361e-16,7.771561172376096e-16,2332.668755443,2.048407348436413e-10,2.351722497253991e-05,1.7205831204236688e-10,2.2439238104256075e-05,1.587422118763714e-07,0.000989410088242807,1.219401801755282e-10,4.2101749179584325e-06,True,True
combined_reference,combined_reference,constant,prepared,0.01,1.0,0.0005,2000,16,128,128,36864,18705,32768,16641,8.710242602297905e-06,4.984260564357479e-05,,7.667743050943088e-06,4.984119701006536e-05,,0.00016044127077610221,,9.017870083116719e-06,4.987694925379323e-05,,2.896320997386459e-05,8.778116468813726e-05,,0.7633587786259542,0.7633587786259429,1.1324274851176597e-14,0.18080235896606878,0.18079334109598566,0.32994788889806875,0.3299189256880949,0.15384347710177582,0.15383580935872487,0.33466497580653964,0.3346482985384561,1.1175262104590189e-13,7.319796678624215e-14,1.4988010832439613e-15,2.993019027064392e-12,1.96042746269581e-12,1.9648449534059864e-12,2.9383162569729393e-12,6.106226635438361e-16,8.326672684688674e-16,1279.534048945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
