scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
time_dependent,prepared,0.01,0.0005,0.0,0.7633587786259429,0.7633587786259542,0.0,0.0,0.0,0.0,0.3816793893129784,0.09711943748421432
time_dependent,prepared,0.01,0.0005,0.0005,0.7505640596029762,0.7633587786273077,2.8688891540173955e-12,1.879122395874531e-12,-2.767341911180665e-12,0.0003752820298014881,0.38167299195348064,0.09711466311057175
time_dependent,prepared,0.01,0.0005,0.001,0.7425762780040751,0.7633587786273066,2.785605079935749e-12,1.824571327351354e-12,-2.7077229347582943e-12,0.0007465701688035256,0.38166260070316466,0.09710696436076381
time_dependent,prepared,0.01,0.0005,0.0015,0.7363798577579913,0.7633587786272911,2.9108417065604186e-12,1.9066013177901e-12,-2.8099744753262712e-12,0.0011147600976825214,0.38164911124272455,0.09709703108610751
time_dependent,prepared,0.01,0.0005,0.002,0.7311576386278916,0.7633587786272966,2.9204347273825704e-12,1.9128847464285606e-12,-2.8573809984777654e-12,0.0014803389169964671,0.3816330106727229,0.09708523865726697
time_dependent,prepared,0.01,0.0005,0.0025,0.7265649229599268,0.7633587786273005,2.905571616640401e-12,1.9031494088924845e-12,-2.848277169675839e-12,0.0018436213784764305,0.3816146137448836,0.09707182975937087
time_dependent,prepared,0.01,0.0005,0.003,0.7224206672778151,0.7633587786272967,2.8614333125176472e-12,1.87423881969225e-12,-2.808642207696721e-12,0.002204831712115338,0.3815941446892179,0.09705697737240991
time_dependent,prepared,0.01,0.0005,0.0035,0.7186164552160124,0.7633587786272947,2.871237969603868e-12,1.880660870083694e-12,-2.847166946651214e-12,0.0025641399397233443,0.38157177352750316,0.09704081272464646
time_dependent,prepared,0.01,0.0005,0.004,0.715081454529926,0.7633587786272928,2.803403342799271e-12,1.8362291895269306e-12,-2.7677860003905153e-12,0.0029216806669883073,0.38154763486545473,0.09702343976026812
time_dependent,prepared,0.01,0.0005,0.0045000000000000005,0.7117664317033625,0.7633587786272957,2.8260935258650477e-12,1.8510912594349265e-12,-2.793765219166744e-12,0.0032775638828399884,0.381521838691977,0.09700494345469438
time_dependent,prepared,0.01,0.0005,0.005,0.7086355460869737,0.7633587786272961,2.870426119017111e-12,1.880129107949368e-12,-2.8511637495398645e-12,0.003631881655883475,0.3814944770757147,0.09698539497143613
time_dependent,prepared,0.01,0.0005,0.0055,0.7056617546252574,0.7633587786272726,2.8369320781429508e-12,1.8581905111769707e-12,-2.81785705880111e-12,0.003984712533196104,0.3814656285637019,0.09696485504997672
time_dependent,prepared,0.01,0.0005,0.006,0.7028240607107306,0.7633587786271937,2.8522947892462014e-12,1.8682530869497383e-12,-2.841393786923163e-12,0.00433612456355147,0.38143536120474414,0.09694337633456782
time_dependent,prepared,0.01,0.0005,0.006500000000000001,0.7001057775642505,0.7633587786270367,2.7804702984468577e-12,1.8212080454767924e-12,-2.7768898291924415e-12,0.004686177452333595,0.3814037347042228,0.09692100503435708
time_dependent,prepared,0.01,0.0005,0.007,0.6974933838711537,0.7633587786266399,2.8335805923873636e-12,1.8559952880086113e-12,-2.8210767055725228e-12,0.005034924144269172,0.3813708020068329,0.0968977821428983
time_dependent,prepared,0.01,0.0005,0.0075,0.6949757423539833,0.7633587786257957,2.809086296906571e-12,1.839951524470801e-12,-2.8103075422336588e-12,0.005382412015446163,0.3813366104886997,0.09687374435671693
time_dependent,prepared,0.01,0.0005,0.008,0.6925435499340773,0.7633587786240008,2.8473196023171e-12,1.8649943395189946e-12,-2.841171742318238e-12,0.005728683790413202,0.381301202874348,0.09684892478216026
time_dependent,prepared,0.01,0.0005,0.0085,0.6901889408132768,0.7633587786204756,2.8633623250229334e-12,1.875502322899964e-12,-2.8566038423605278e-12,0.006073778260819841,0.38126461795544203,0.09682335348929973
time_dependent,prepared,0.01,0.0005,0.009000000000000001,0.6879051935398528,0.7633587786136977,2.8258922979418344e-12,1.8509594551781948e-12,-2.829292355954749e-12,0.006417730857589767,0.38122689116290676,0.09679705795307308
time_dependent,prepared,0.01,0.0005,0.0095,0.6856865106041462,0.7633587786011887,2.852620917259685e-12,1.868466700862221e-12,-2.85493850782359e-12,0.00676057411289184,0.3811880550289038,0.09677006340946406
time_dependent,prepared,0.01,0.0005,0.01,0.6835278497645233,0.7633587785788187,2.8409358199255053e-12,1.8608129621626437e-12,-2.8318458689113868e-12,0.007102338037774102,0.3811481395645026,0.09674239314669397
time_dependent,prepared,0.01,0.0005,0.0105,0.6814247930034711,0.7633587785401375,2.83220669139439e-12,1.8550953830684338e-12,-2.8321789358187743e-12,0.007443050434275838,0.38110717257172916,0.09671406874597072
time_dependent,prepared,0.01,0.0005,0.011,0.6793734433382618,0.7633587784750718,2.808406285303988e-12,1.8395061172343176e-12,-2.799205311987407e-12,0.007782737155944969,0.3810651799041582,0.09668511028241245
time_dependent,prepared,0.01,0.0005,0.0115,0.6773703425773937,0.7633587783685957,2.7824964554667986e-12,1.8225351789418804e-12,-2.7926549961421188e-12,0.008121422327233667,0.3810221856862536,0.09665553649431144
time_dependent,prepared,0.01,0.0005,0.012,0.6754124050508784,0.7633587781985797,2.8335944701751714e-12,1.8560043790003964e-12,-2.8442803667871885e-12,0.008459128529759106,0.38097821249969094,0.09662536492685347
time_dependent,prepared,0.01,0.0005,0.0125,0.6734968636791919,0.7633587779333185,2.83849332927133e-12,1.8592131323562265e-12,-2.8305136012818366e-12,0.008795876961598703,0.38093328154255857,0.09659461205503131
time_dependent,prepared,0.01,0.0005,0.013000000000000001,0.6716212256851146,0.7633587775283535,2.8363006387976952e-12,1.8577769210802565e-12,-2.8399504969911504e-12,0.00913168757444126,0.38088741276663995,0.09656329338950095
time_dependent,prepared,0.01,0.0005,0.0135,0.6697832359209546,0.763358776922414,2.833469570084901e-12,1.8559225725439124e-12,-2.830624623584299e-12,0.009466579192401736,0.3808406249961306,0.09653142356830609
time_dependent,prepared,0.01,0.0005,0.014,0.6679808462702804,0.76335877603269,2.845432223175237e-12,1.8637581125078213e-12,-2.8431701437625634e-12,0.009800569615536877,0.3807929360312492,0.09649901643675352
time_dependent,prepared,0.01,0.0005,0.0145,0.6662121899370369,0.7633587747491505,2.7577662375932732e-12,1.8063368947940168e-12,-2.7603475061255267e-12,0.010133675710505396,0.38074436273884377,0.09646608511746549
time_dependent,prepared,0.01,0.0005,0.015,0.6644755597017761,0.7633587729278005,2.8144292452125796e-12,1.8434511693714326e-12,-2.81918932643066e-12,0.010465913490356284,0.38069492113222897,0.09643264207195294
