audit_case,reference_case,scenario,initialization,h,T,dt,num_steps,n_layer,n_bulk,ny,full_num_cells,full_num_dofs,reduced_num_cells,reduced_num_dofs,E_L2_T,rel_E_L2_T,rate_E_L2_T,E_B_T,rel_E_B_T,rate_E_B_T,E_J_L2_rel,rate_E_J_L2_rel,E_J_T,rel_E_J_T,rate_E_J_T,E_M_T,rel_E_M_T,rate_E_M_T,J_full_0,J_red_0,initial_flux_mismatch,J_full_T,J_red_T,M_full_T,M_red_T,B_full_T,B_red_T,Q_outer_full_T,Q_outer_red_T,max_full_balance_residual,max_full_balance_normalized,global_full_balance_error,max_reduced_balance_residual,max_reduced_balance_normalized,global_reduced_balance_error,max_reduced_robin_flux_mismatch,full_cumulative_consistency_error,reduced_cumulative_consistency_error,elapsed_seconds,abs_change_to_reference_E_L2_T,rel_change_to_reference_E_L2_T,abs_change_to_reference_E_B_T,rel_change_to_reference_E_B_T,abs_change_to_reference_E_J_L2_rel,rel_change_to_reference_E_J_L2_rel,abs_change_to_reference_E_M_T,rel_change_to_reference_E_M_T,primary_metrics_accepted,all_metrics_accepted
baseline,combined_reference,time_dependent,prepared,0.08,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,0.00038520423367367936,0.002250849408580592,,0.00034028848880490736,0.0022588989612680648,,0.006457667813148457,,0.0003433491071691275,0.0019317238954343957,,0.001387659393637497,0.004240655566241503,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.17774233055802055,0.17739898145085142,0.32722756469169717,0.3258399052980597,0.15064351909475474,0.15030323060594983,0.32753017267009615,0.3267759145176306,1.0462117283616124e-14,7.218860925709985e-15,8.326672684688674e-16,1.5226708782734022e-13,1.0694033621454086e-13,6.453171330633722e-14,1.5165646516379638e-13,5.551115123125783e-17,2.220446049250313e-16,630.4443175849992,9.993763237288065e-08,0.00025950796550491166,9.001899736738039e-08,0.00026460729649462186,9.662453699134377e-06,0.0014940405546729877,4.202972242461911e-08,3.028729503127277e-05,True,True
exterior_refined,combined_reference,time_dependent,prepared,0.08,1.0,0.001,1000,8,128,128,34816,17673,32768,16641,0.0003852125862797685,0.0022508609732120564,,0.000340295976866023,0.002258910775581359,,0.006457316829370546,,0.0003433432473482767,0.0019317073776727507,,0.0013876641756822017,0.004240650354131941,,0.7246376811594203,0.7246376811594207,4.440892098500626e-16,0.1777408169149946,0.17739747366764633,0.32722909454916754,0.32584143037348534,0.15064604611416915,0.15030575013730313,0.32753109527358426,0.32677683361550264,4.568827954853916e-14,3.1524912889028545e-14,9.131584377541913e-15,1.289107709467885e-13,9.97725672314641e-14,3.4583447217073626e-14,1.3000711618360583e-13,5.551115123125783e-17,1.1102230246251565e-16,577.2544031590005,1.082902384620275e-07,0.00028119717067610233,9.75070584829929e-08,0.00028661815715442645,1.0013437477045598e-05,0.0015483108274794363,3.724767771995374e-08,2.6841276583668233e-05,True,True
coating_refined,combined_reference,time_dependent,prepared,0.08,1.0,0.001,1000,16,64,64,10240,5265,8192,4225,0.0003852064102019244,0.0022508620972092287,,0.0003402904502226578,0.002258911952116209,,0.006457331402600922,,0.00034335021416742606,0.001931730111510629,,0.0013876557340237183,0.004240644429971056,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.17774233166501885,0.17739898145085142,0.3272275610320834,0.3258399052980597,0.15064352105617249,0.15030323060594983,0.32753017699490455,0.3267759145176306,1.0280838680376547e-14,7.093778689478113e-15,5.551115123125783e-16,1.5226708782734022e-13,1.0694033621454086e-13,6.453171330633722e-14,1.5165646516379638e-13,5.551115123125783e-17,2.220446049250313e-16,171.44790669400027,1.0211416061789609e-07,0.0002651597545589138,9.198041511782051e-08,0.00027037280670267705,9.9988642466688e-06,0.0015460574663898532,4.5689336203302844e-08,3.2924471672500847e-05,True,True
time_refined,combined_reference,time_dependent,prepared,0.08,1.0,0.0005,2000,8,64,64,9216,4745,8192,4225,0.0003850938395393258,0.0022502561471628548,,0.00034018910076072384,0.00225829974511182,,0.006467999777472838,,0.0003433532266944317,0.0019314785946247357,,0.001387700369649414,0.004239331970383854,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.17776703694774382,0.17742368372104939,0.327339396712488,0.3259516963428386,0.15063948065223703,0.1502992915514763,0.3275148771339926,0.32676086075849686,2.1154952789537163e-14,1.459691742464712e-14,1.6653345369377348e-16,1.4705875406306745e-12,1.014705403162553e-12,9.887646257311644e-13,1.4727108421652702e-12,1.5543122344752192e-15,7.771561172376096e-16,752.9395000940003,1.045650198068862e-08,2.7152389854324167e-05,9.369046816143367e-09,2.753994402574387e-05,6.695106252469635e-07,0.00010352194763872898,1.053710507736838e-09,7.593207659797449e-07,True,True
combined_reference,combined_reference,time_dependent,prepared,0.08,1.0,0.0005,2000,16,128,128,36864,18705,32768,16641,0.0003851042960413065,0.0022502799971676904,,0.00034019846980754,0.002258324037605531,,0.006467330266847591,,0.00034334854160633643,0.0019314686688696903,,0.0013877014233599216,0.0042393154301898295,,0.7246376811594203,0.7246376811594207,4.440892098500626e-16,0.17776552482586555,0.17742217628425921,0.32734092242288815,0.3259532209995282,0.1506420089157124,0.15030181044590485,0.32751580400679653,0.32676177980680193,1.967551013608293e-13,1.357610199400008e-13,8.743006318923108e-15,2.764129203303156e-12,1.9072491502660693e-12,1.8239298960054384e-12,2.7491342535768126e-12,7.216449660063518e-16,4.440892098500626e-16,1821.705606513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
baseline,combined_reference,time_dependent,prepared,0.01,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,6.258457693759291e-06,3.57633351772458e-05,,5.529983511803893e-06,3.5896255169032696e-05,,0.00015202470339687466,,5.526282911949565e-06,3.0511687521411462e-05,,2.385722647885169e-05,7.222146947368348e-05,,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.1811201988769555,0.18111467259404354,0.3303342711344988,0.33031041390801996,0.15405460780696,0.1540490778234482,0.3351117851901947,0.3350995118992835,1.0293849106446373e-14,6.742471164717762e-15,2.0261570199409107e-15,1.8204882046291004e-13,1.2034042628168653e-13,8.670841822322473e-14,1.8118839761882555e-13,5.551115123125783e-17,2.220446049250313e-16,556.8991960350013,1.6055500438484903e-09,0.0002566066780819089,1.461221033061122e-09,0.0002643058951757227,2.0308356631567074e-06,0.013182490389815484,1.0158137109250731e-09,4.257705569708859e-05,True,True
exterior_refined,combined_reference,time_dependent,prepared,0.01,1.0,0.001,1000,8,128,128,34816,17673,32768,16641,6.258642293166624e-06,3.5763801507249733e-05,,5.530141711312941e-06,3.589668269261341e-05,,0.00015190367722511748,,5.5261364493575105e-06,3.0511153900439457e-05,,2.385734020171615e-05,7.222145436978678e-05,,0.7633587786259542,0.7633587786259429,1.1324274851176597e-14,0.18111856625907277,0.18111304012262341,0.3303359148593477,0.330312057519146,0.15405718012073855,0.15405164997902723,0.33511269351408257,0.3351004201612311,3.594347042223944e-14,2.3542973126780526e-14,1.1934897514720433e-15,1.7427725929053395e-13,1.2231402358103253e-13,6.328271240363392e-14,1.7774670624248756e-13,8.326672684688674e-17,8.326672684688674e-17,4454.291729529999,1.7901494511808635e-09,0.0002861102372346995,1.6194205421093955e-09,0.00029292104778392826,2.1518618349138866e-06,0.013968091300341774,9.02090846466308e-10,3.7810448708013954e-05,True,True
coating_refined,combined_reference,time_dependent,prepared,0.01,1.0,0.001,1000,16,64,64,10240,5265,8192,4225,6.258463330875171e-06,3.576336738822379e-05,,5.529989200087071e-06,3.589629209151798e-05,,0.00015202318345781282,,5.526277734396734e-06,3.0511658936003055e-05,,2.3857230333823587e-05,7.222148114275274e-05,,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.18112019887177794,0.18111467259404354,0.3303342711383538,0.33031041390801996,0.1540546078126483,0.1540490778234482,0.33511178519164336,0.3350995118992835,7.438494264988549e-15,5.247247774667982e-15,2.0816681711721685e-15,1.8204882046291004e-13,1.2034042628168653e-13,8.670841822322473e-14,1.8118839761882555e-13,1.1102230246251565e-16,2.220446049250313e-16,781.2219175509999,1.6111871597276932e-09,0.00025750762887149484,1.4669093162389402e-09,0.0002653347927506342,2.032355602218553e-06,0.013192356565813565,1.0119587390278184e-09,4.241547749488983e-05,True,True
time_refined,combined_reference,time_dependent,prepared,0.01,1.0,0.0005,2000,8,64,64,9216,4745,8192,4225,6.256666219556672e-06,3.575380384960653e-05,,5.52836278072677e-06,3.588658433332322e-05,,0.00015421957463386781,,5.526619842904923e-06,3.0509043559597453e-05,,2.3858129684528606e-05,7.219828228255069e-05,,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.18114693868095297,0.18114141206111006,0.3304528713184466,0.33042901318876206,0.15405096036385096,0.15404543200107024,0.33509690763774824,0.33508463839092056,1.5626389071599078e-14,1.0235284841992547e-14,1.3600232051658168e-15,1.577959984899735e-12,1.033563790106293e-12,1.0424439089717907e-12,1.5799583863440603e-12,1.27675647831893e-15,4.440892098500626e-16,781.6383781679979,1.8592415877102017e-10,2.9715287256351036e-05,1.5951004406211666e-10,2.8852202392020465e-05,1.6403557383644568e-07,0.0010647820574145365,1.1260803400858777e-10,4.719879722392262e-06,True,True
combined_reference,combined_reference,time_dependent,prepared,0.01,1.0,0.0005,2000,16,128,128,36864,18705,32768,16641,6.256852143715443e-06,3.575427807438367e-05,,5.528522290770832e-06,3.588702069828538e-05,,0.00015405553906003137,,5.526472166839103e-06,3.0508503194858546e-05,,2.3858242292562615e-05,7.219826402359955e-05,,0.7633587786259542,0.7633587786259429,1.1324274851176597e-14,0.18114530665570158,0.18113978018353474,0.33045451459558695,0.3304306563532944,0.1540535319789022,0.15404800345661143,0.3350978157370709,0.3350855464271051,1.1403551714028737e-13,7.469326372870426e-14,2.581268532253489e-15,2.9204347273825704e-12,1.912884746427414e-12,1.9181878307961142e-12,2.88935542158697e-12,1.6653345369377348e-15,4.996003610813204e-16,2156.3781520730004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
